video_id,frame_path_1,frame_path_2,frame_path_3,frame_path_4,frame_id,sentence
video7579,./test_1k_images_3/video7579_frame_001_of_004.jpg,./test_1k_images_3/video7579_frame_002_of_004.jpg,./test_1k_images_3/video7579_frame_003_of_004.jpg,./test_1k_images_3/video7579_frame_004_of_004.jpg,video7579,a girl wearing red top and black trouser is putting a sweater on a dog
video7725,./test_1k_images_3/video7725_frame_001_of_004.jpg,./test_1k_images_3/video7725_frame_002_of_004.jpg,./test_1k_images_3/video7725_frame_003_of_004.jpg,./test_1k_images_3/video7725_frame_004_of_004.jpg,video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party
video9258,./test_1k_images_3/video9258_frame_001_of_004.jpg,./test_1k_images_3/video9258_frame_002_of_004.jpg,./test_1k_images_3/video9258_frame_003_of_004.jpg,./test_1k_images_3/video9258_frame_004_of_004.jpg,video9258,a person is using a phone
video7365,./test_1k_images_3/video7365_frame_001_of_004.jpg,./test_1k_images_3/video7365_frame_002_of_004.jpg,./test_1k_images_3/video7365_frame_003_of_004.jpg,./test_1k_images_3/video7365_frame_004_of_004.jpg,video7365,cartoon people are eating at a restaurant
video8068,./test_1k_images_3/video8068_frame_001_of_004.jpg,./test_1k_images_3/video8068_frame_002_of_004.jpg,./test_1k_images_3/video8068_frame_003_of_004.jpg,./test_1k_images_3/video8068_frame_004_of_004.jpg,video8068,a woman on a couch talks to a a man
video7131,./test_1k_images_3/video7131_frame_001_of_004.jpg,./test_1k_images_3/video7131_frame_002_of_004.jpg,./test_1k_images_3/video7131_frame_003_of_004.jpg,./test_1k_images_3/video7131_frame_004_of_004.jpg,video7131,athletes are getting ready and start running for an event
video7213,./test_1k_images_3/video7213_frame_001_of_004.jpg,./test_1k_images_3/video7213_frame_002_of_004.jpg,./test_1k_images_3/video7213_frame_003_of_004.jpg,./test_1k_images_3/video7213_frame_004_of_004.jpg,video7213,a woman is making lasagna
video7575,./test_1k_images_3/video7575_frame_001_of_004.jpg,./test_1k_images_3/video7575_frame_002_of_004.jpg,./test_1k_images_3/video7575_frame_003_of_004.jpg,./test_1k_images_3/video7575_frame_004_of_004.jpg,video7575,a man speaking in a microphone
video7978,./test_1k_images_3/video7978_frame_001_of_004.jpg,./test_1k_images_3/video7978_frame_002_of_004.jpg,./test_1k_images_3/video7978_frame_003_of_004.jpg,./test_1k_images_3/video7978_frame_004_of_004.jpg,video7978,a team with blue uniforms are playing badmitten with a team in white
video8123,./test_1k_images_3/video8123_frame_001_of_004.jpg,./test_1k_images_3/video8123_frame_002_of_004.jpg,./test_1k_images_3/video8123_frame_003_of_004.jpg,./test_1k_images_3/video8123_frame_004_of_004.jpg,video8123,a woman is giving demo for baby trolley
video9800,./test_1k_images_3/video9800_frame_001_of_004.jpg,./test_1k_images_3/video9800_frame_002_of_004.jpg,./test_1k_images_3/video9800_frame_003_of_004.jpg,./test_1k_images_3/video9800_frame_004_of_004.jpg,video9800,a car is in a wreck
video9205,./test_1k_images_3/video9205_frame_001_of_004.jpg,./test_1k_images_3/video9205_frame_002_of_004.jpg,./test_1k_images_3/video9205_frame_003_of_004.jpg,./test_1k_images_3/video9205_frame_004_of_004.jpg,video9205,a woman interviewing about her part in a protest happening in brazil
video7590,./test_1k_images_3/video7590_frame_001_of_004.jpg,./test_1k_images_3/video7590_frame_002_of_004.jpg,./test_1k_images_3/video7590_frame_003_of_004.jpg,./test_1k_images_3/video7590_frame_004_of_004.jpg,video7590,an emotional scene of two persons where they are crying on meeting
video9017,./test_1k_images_3/video9017_frame_001_of_004.jpg,./test_1k_images_3/video9017_frame_002_of_004.jpg,./test_1k_images_3/video9017_frame_003_of_004.jpg,./test_1k_images_3/video9017_frame_004_of_004.jpg,video9017,the man is driving his motorbike fast and having problems on the race
video9241,./test_1k_images_3/video9241_frame_001_of_004.jpg,./test_1k_images_3/video9241_frame_002_of_004.jpg,./test_1k_images_3/video9241_frame_003_of_004.jpg,./test_1k_images_3/video9241_frame_004_of_004.jpg,video9241,japanese people laughing and dancing
video7158,./test_1k_images_3/video7158_frame_001_of_004.jpg,./test_1k_images_3/video7158_frame_002_of_004.jpg,./test_1k_images_3/video7158_frame_003_of_004.jpg,./test_1k_images_3/video7158_frame_004_of_004.jpg,video7158,fox news presidential debate recapping the gop debate with donald trump and ted cruz
video9233,./test_1k_images_3/video9233_frame_001_of_004.jpg,./test_1k_images_3/video9233_frame_002_of_004.jpg,./test_1k_images_3/video9233_frame_003_of_004.jpg,./test_1k_images_3/video9233_frame_004_of_004.jpg,video9233,a man is giving a speech
video8687,./test_1k_images_3/video8687_frame_001_of_004.jpg,./test_1k_images_3/video8687_frame_002_of_004.jpg,./test_1k_images_3/video8687_frame_003_of_004.jpg,./test_1k_images_3/video8687_frame_004_of_004.jpg,video8687,fast moving time is shown here
video9337,./test_1k_images_3/video9337_frame_001_of_004.jpg,./test_1k_images_3/video9337_frame_002_of_004.jpg,./test_1k_images_3/video9337_frame_003_of_004.jpg,./test_1k_images_3/video9337_frame_004_of_004.jpg,video9337,some people are inside of a room
video9620,./test_1k_images_3/video9620_frame_001_of_004.jpg,./test_1k_images_3/video9620_frame_002_of_004.jpg,./test_1k_images_3/video9620_frame_003_of_004.jpg,./test_1k_images_3/video9620_frame_004_of_004.jpg,video9620,outer space pictures that have parts of equipments in them with water droplets on it
video7411,./test_1k_images_3/video7411_frame_001_of_004.jpg,./test_1k_images_3/video7411_frame_002_of_004.jpg,./test_1k_images_3/video7411_frame_003_of_004.jpg,./test_1k_images_3/video7411_frame_004_of_004.jpg,video7411,jolly good music troop delivering a program and the lady is in good spirit
video8514,./test_1k_images_3/video8514_frame_001_of_004.jpg,./test_1k_images_3/video8514_frame_002_of_004.jpg,./test_1k_images_3/video8514_frame_003_of_004.jpg,./test_1k_images_3/video8514_frame_004_of_004.jpg,video8514,a person is putting the vegetable in to the water and boil it
video8481,./test_1k_images_3/video8481_frame_001_of_004.jpg,./test_1k_images_3/video8481_frame_002_of_004.jpg,./test_1k_images_3/video8481_frame_003_of_004.jpg,./test_1k_images_3/video8481_frame_004_of_004.jpg,video8481,a woman is reporting on keds commercials
video9224,./test_1k_images_3/video9224_frame_001_of_004.jpg,./test_1k_images_3/video9224_frame_002_of_004.jpg,./test_1k_images_3/video9224_frame_003_of_004.jpg,./test_1k_images_3/video9224_frame_004_of_004.jpg,video9224,someone is playing a game
video8426,./test_1k_images_3/video8426_frame_001_of_004.jpg,./test_1k_images_3/video8426_frame_002_of_004.jpg,./test_1k_images_3/video8426_frame_003_of_004.jpg,./test_1k_images_3/video8426_frame_004_of_004.jpg,video8426,cabins on a sandy beach have walkways going up to their porches
video9699,./test_1k_images_3/video9699_frame_001_of_004.jpg,./test_1k_images_3/video9699_frame_002_of_004.jpg,./test_1k_images_3/video9699_frame_003_of_004.jpg,./test_1k_images_3/video9699_frame_004_of_004.jpg,video9699,a man explains how to do a experiment
video9882,./test_1k_images_3/video9882_frame_001_of_004.jpg,./test_1k_images_3/video9882_frame_002_of_004.jpg,./test_1k_images_3/video9882_frame_003_of_004.jpg,./test_1k_images_3/video9882_frame_004_of_004.jpg,video9882,a news reader is reading the news and asking question to some people
video8300,./test_1k_images_3/video8300_frame_001_of_004.jpg,./test_1k_images_3/video8300_frame_002_of_004.jpg,./test_1k_images_3/video8300_frame_003_of_004.jpg,./test_1k_images_3/video8300_frame_004_of_004.jpg,video8300,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking
video8863,./test_1k_images_3/video8863_frame_001_of_004.jpg,./test_1k_images_3/video8863_frame_002_of_004.jpg,./test_1k_images_3/video8863_frame_003_of_004.jpg,./test_1k_images_3/video8863_frame_004_of_004.jpg,video8863,an animated girl talks to a baby and plays with it
video7147,./test_1k_images_3/video7147_frame_001_of_004.jpg,./test_1k_images_3/video7147_frame_002_of_004.jpg,./test_1k_images_3/video7147_frame_003_of_004.jpg,./test_1k_images_3/video7147_frame_004_of_004.jpg,video7147,a man cooks burgers and bacon on a grill
video7744,./test_1k_images_3/video7744_frame_001_of_004.jpg,./test_1k_images_3/video7744_frame_002_of_004.jpg,./test_1k_images_3/video7744_frame_003_of_004.jpg,./test_1k_images_3/video7744_frame_004_of_004.jpg,video7744,a chef stirs up some ingredients inside of a pan
video7839,./test_1k_images_3/video7839_frame_001_of_004.jpg,./test_1k_images_3/video7839_frame_002_of_004.jpg,./test_1k_images_3/video7839_frame_003_of_004.jpg,./test_1k_images_3/video7839_frame_004_of_004.jpg,video7839,this is a vine sports compilation
video7214,./test_1k_images_3/video7214_frame_001_of_004.jpg,./test_1k_images_3/video7214_frame_002_of_004.jpg,./test_1k_images_3/video7214_frame_003_of_004.jpg,./test_1k_images_3/video7214_frame_004_of_004.jpg,video7214,race cars of different colors lined up on a dark track
video7771,./test_1k_images_3/video7771_frame_001_of_004.jpg,./test_1k_images_3/video7771_frame_002_of_004.jpg,./test_1k_images_3/video7771_frame_003_of_004.jpg,./test_1k_images_3/video7771_frame_004_of_004.jpg,video7771,a golf player is trying to hit the ball into the pit
video8486,./test_1k_images_3/video8486_frame_001_of_004.jpg,./test_1k_images_3/video8486_frame_002_of_004.jpg,./test_1k_images_3/video8486_frame_003_of_004.jpg,./test_1k_images_3/video8486_frame_004_of_004.jpg,video8486,a cartoon on a young guy cursing
video9909,./test_1k_images_3/video9909_frame_001_of_004.jpg,./test_1k_images_3/video9909_frame_002_of_004.jpg,./test_1k_images_3/video9909_frame_003_of_004.jpg,./test_1k_images_3/video9909_frame_004_of_004.jpg,video9909,a crowd of people sitting next to each other as one man plays a video game
video8922,./test_1k_images_3/video8922_frame_001_of_004.jpg,./test_1k_images_3/video8922_frame_002_of_004.jpg,./test_1k_images_3/video8922_frame_003_of_004.jpg,./test_1k_images_3/video8922_frame_004_of_004.jpg,video8922,an old man shakes hands with another man and then they hug each other
video9814,./test_1k_images_3/video9814_frame_001_of_004.jpg,./test_1k_images_3/video9814_frame_002_of_004.jpg,./test_1k_images_3/video9814_frame_003_of_004.jpg,./test_1k_images_3/video9814_frame_004_of_004.jpg,video9814,a scene from spongebob squarepants where the townspeople are carrying torches and chasing a giant squidward
video9368,./test_1k_images_3/video9368_frame_001_of_004.jpg,./test_1k_images_3/video9368_frame_002_of_004.jpg,./test_1k_images_3/video9368_frame_003_of_004.jpg,./test_1k_images_3/video9368_frame_004_of_004.jpg,video9368,someone demonstrates about the small motor uses to the video
video8820,./test_1k_images_3/video8820_frame_001_of_004.jpg,./test_1k_images_3/video8820_frame_002_of_004.jpg,./test_1k_images_3/video8820_frame_003_of_004.jpg,./test_1k_images_3/video8820_frame_004_of_004.jpg,video8820,a person comes up in the hill on a orange motor bike and falls down
video9452,./test_1k_images_3/video9452_frame_001_of_004.jpg,./test_1k_images_3/video9452_frame_002_of_004.jpg,./test_1k_images_3/video9452_frame_003_of_004.jpg,./test_1k_images_3/video9452_frame_004_of_004.jpg,video9452,an animated grey shark in the middle of a blue water simulation background rotating in a circle on the screen of a monitor
video9344,./test_1k_images_3/video9344_frame_001_of_004.jpg,./test_1k_images_3/video9344_frame_002_of_004.jpg,./test_1k_images_3/video9344_frame_003_of_004.jpg,./test_1k_images_3/video9344_frame_004_of_004.jpg,video9344,gameplay footage of someone playing a game
video9032,./test_1k_images_3/video9032_frame_001_of_004.jpg,./test_1k_images_3/video9032_frame_002_of_004.jpg,./test_1k_images_3/video9032_frame_003_of_004.jpg,./test_1k_images_3/video9032_frame_004_of_004.jpg,video9032,a hospital mortuary room and a doctor treat the special case
video9016,./test_1k_images_3/video9016_frame_001_of_004.jpg,./test_1k_images_3/video9016_frame_002_of_004.jpg,./test_1k_images_3/video9016_frame_003_of_004.jpg,./test_1k_images_3/video9016_frame_004_of_004.jpg,video9016,all persons are wearing bikini dresses and playing in sea
video9353,./test_1k_images_3/video9353_frame_001_of_004.jpg,./test_1k_images_3/video9353_frame_002_of_004.jpg,./test_1k_images_3/video9353_frame_003_of_004.jpg,./test_1k_images_3/video9353_frame_004_of_004.jpg,video9353,two women are outside and are discussing something in a foreign language
video9405,./test_1k_images_3/video9405_frame_001_of_004.jpg,./test_1k_images_3/video9405_frame_002_of_004.jpg,./test_1k_images_3/video9405_frame_003_of_004.jpg,./test_1k_images_3/video9405_frame_004_of_004.jpg,video9405,red balloons float in the sky and have packages tied to them
