rel_video_id,query,top1,top5,top10,top15,ground_truth
video8469,two parrots in a bird cage one white chick and on green adult,"[[8469, 1.38728928565979]]","[[8469, 1.38728928565979], [7113, 1.495166540145874], [7342, 1.5221346616744995], [7594, 1.5608117580413818], [7822, 1.5717942714691162]]","[[8469, 1.38728928565979], [7113, 1.495166540145874], [7342, 1.5221346616744995], [7594, 1.5608117580413818], [7822, 1.5717942714691162], [7546, 1.5902780294418335], [8057, 1.591602087020874], [7849, 1.5962560176849365], [8605, 1.6023759841918945], [7114, 1.6035959720611572]]","[[8469, 1.38728928565979], [7113, 1.495166540145874], [7342, 1.5221346616744995], [7594, 1.5608117580413818], [7822, 1.5717942714691162], [7546, 1.5902780294418335], [8057, 1.591602087020874], [7849, 1.5962560176849365], [8605, 1.6023759841918945], [7114, 1.6035959720611572], [9828, 1.6136884689331055], [8666, 1.6139585971832275], [7060, 1.6141250133514404], [8073, 1.6141587495803833], [9969, 1.6148185729980469]]",8469
video9687,a man chopping lobster and taking off the shell,"[[9687, 1.3996665477752686]]","[[9687, 1.3996665477752686], [9309, 1.4506199359893799], [7147, 1.5301686525344849], [9342, 1.5374215841293335], [8834, 1.5413691997528076]]","[[9687, 1.3996665477752686], [9309, 1.4506199359893799], [7147, 1.5301686525344849], [9342, 1.5374215841293335], [8834, 1.5413691997528076], [8325, 1.553144931793213], [8025, 1.561715841293335], [9333, 1.5660011768341064], [7681, 1.5708484649658203], [9038, 1.5711349248886108]]","[[9687, 1.3996665477752686], [9309, 1.4506199359893799], [7147, 1.5301686525344849], [9342, 1.5374215841293335], [8834, 1.5413691997528076], [8325, 1.553144931793213], [8025, 1.561715841293335], [9333, 1.5660011768341064], [7681, 1.5708484649658203], [9038, 1.5711349248886108], [9578, 1.572504997253418], [8489, 1.5729045867919922], [8772, 1.5734575986862183], [7799, 1.5800902843475342], [7362, 1.5816453695297241]]",9687
video7698,two women are walking in a parking lot,"[[8022, 1.4763214588165283]]","[[8022, 1.4763214588165283], [9353, 1.478468656539917], [7698, 1.4808964729309082], [9341, 1.489478588104248], [9039, 1.4899623394012451]]","[[8022, 1.4763214588165283], [9353, 1.478468656539917], [7698, 1.4808964729309082], [9341, 1.489478588104248], [9039, 1.4899623394012451], [8306, 1.4980710744857788], [8330, 1.504860281944275], [7502, 1.5186898708343506], [8651, 1.5430052280426025], [7751, 1.5470386743545532]]","[[8022, 1.4763214588165283], [9353, 1.478468656539917], [7698, 1.4808964729309082], [9341, 1.489478588104248], [9039, 1.4899623394012451], [8306, 1.4980710744857788], [8330, 1.504860281944275], [7502, 1.5186898708343506], [8651, 1.5430052280426025], [7751, 1.5470386743545532], [7060, 1.5491902828216553], [7583, 1.5500930547714233], [7138, 1.552529215812683], [7586, 1.5529600381851196], [8347, 1.5530312061309814]]",7698
video9503,a woman is talking about how jeans with patches or rips is trendy,"[[9503, 1.3333284854888916]]","[[9503, 1.3333284854888916], [8825, 1.42780601978302], [9250, 1.4626414775848389], [7580, 1.4913995265960693], [8254, 1.5281308889389038]]","[[9503, 1.3333284854888916], [8825, 1.42780601978302], [9250, 1.4626414775848389], [7580, 1.4913995265960693], [8254, 1.5281308889389038], [8789, 1.534860372543335], [8783, 1.5406101942062378], [7231, 1.5410399436950684], [9698, 1.552858829498291], [8669, 1.5549659729003906]]","[[9503, 1.3333284854888916], [8825, 1.42780601978302], [9250, 1.4626414775848389], [7580, 1.4913995265960693], [8254, 1.5281308889389038], [8789, 1.534860372543335], [8783, 1.5406101942062378], [7231, 1.5410399436950684], [9698, 1.552858829498291], [8669, 1.5549659729003906], [9791, 1.5560225248336792], [7549, 1.556650996208191], [9039, 1.5577889680862427], [7348, 1.5614033937454224], [9512, 1.5651137828826904]]",9503
video8903,a naked child runs through a field,"[[9240, 1.387331247329712]]","[[9240, 1.387331247329712], [7155, 1.501584768295288], [8655, 1.5319429636001587], [8903, 1.5562621355056763], [9521, 1.559282660484314]]","[[9240, 1.387331247329712], [7155, 1.501584768295288], [8655, 1.5319429636001587], [8903, 1.5562621355056763], [9521, 1.559282660484314], [9338, 1.5631024837493896], [9016, 1.5658941268920898], [7822, 1.5716482400894165], [7599, 1.57334566116333], [8123, 1.573509693145752]]","[[9240, 1.387331247329712], [7155, 1.501584768295288], [8655, 1.5319429636001587], [8903, 1.5562621355056763], [9521, 1.559282660484314], [9338, 1.5631024837493896], [9016, 1.5658941268920898], [7822, 1.5716482400894165], [7599, 1.57334566116333], [8123, 1.573509693145752], [8678, 1.5745580196380615], [7025, 1.574995994567871], [9324, 1.5755983591079712], [8485, 1.5757818222045898], [9326, 1.5776314735412598]]",8903
video7415,a salad in a bowl is being filmed on a table,"[[7898, 1.4387342929840088]]","[[7898, 1.4387342929840088], [7845, 1.45855712890625], [9409, 1.472055435180664], [7744, 1.495660424232483], [7559, 1.5090728998184204]]","[[7898, 1.4387342929840088], [7845, 1.45855712890625], [9409, 1.472055435180664], [7744, 1.495660424232483], [7559, 1.5090728998184204], [9309, 1.5142308473587036], [7826, 1.5215108394622803], [9873, 1.522415280342102], [7213, 1.523026704788208], [7415, 1.5233957767486572]]","[[7898, 1.4387342929840088], [7845, 1.45855712890625], [9409, 1.472055435180664], [7744, 1.495660424232483], [7559, 1.5090728998184204], [9309, 1.5142308473587036], [7826, 1.5215108394622803], [9873, 1.522415280342102], [7213, 1.523026704788208], [7415, 1.5233957767486572], [7823, 1.5241074562072754], [8772, 1.5290868282318115], [8835, 1.5291929244995117], [9639, 1.530479907989502], [7566, 1.533055067062378]]",7415
video8807,a couple dancing doing salsa,"[[8807, 1.4796311855316162]]","[[8807, 1.4796311855316162], [9513, 1.4973927736282349], [7682, 1.5124232769012451], [9682, 1.514177918434143], [8786, 1.5211576223373413]]","[[8807, 1.4796311855316162], [9513, 1.4973927736282349], [7682, 1.5124232769012451], [9682, 1.514177918434143], [8786, 1.5211576223373413], [7202, 1.5327047109603882], [8330, 1.53940749168396], [8895, 1.5462265014648438], [7351, 1.5517133474349976], [7212, 1.553293228149414]]","[[8807, 1.4796311855316162], [9513, 1.4973927736282349], [7682, 1.5124232769012451], [9682, 1.514177918434143], [8786, 1.5211576223373413], [7202, 1.5327047109603882], [8330, 1.53940749168396], [8895, 1.5462265014648438], [7351, 1.5517133474349976], [7212, 1.553293228149414], [7960, 1.558589220046997], [9801, 1.5606138706207275], [9623, 1.5612422227859497], [9957, 1.5643049478530884], [8683, 1.5657286643981934]]",8807
video7348,a girl is talking about relationships,"[[8807, 1.4807943105697632]]","[[8807, 1.4807943105697632], [8481, 1.4818387031555176], [7547, 1.4841387271881104], [8254, 1.4902129173278809], [9509, 1.4914920330047607]]","[[8807, 1.4807943105697632], [8481, 1.4818387031555176], [7547, 1.4841387271881104], [8254, 1.4902129173278809], [9509, 1.4914920330047607], [9419, 1.4944148063659668], [9209, 1.49896240234375], [9791, 1.5013009309768677], [7153, 1.5016765594482422], [8752, 1.5044385194778442]]","[[8807, 1.4807943105697632], [8481, 1.4818387031555176], [7547, 1.4841387271881104], [8254, 1.4902129173278809], [9509, 1.4914920330047607], [9419, 1.4944148063659668], [9209, 1.49896240234375], [9791, 1.5013009309768677], [7153, 1.5016765594482422], [8752, 1.5044385194778442], [9037, 1.5108680725097656], [8461, 1.5116775035858154], [9341, 1.5122276544570923], [9205, 1.5139260292053223], [7836, 1.5139472484588623]]",7348
video7119,a man in a suit and a woman wearing brown giving the news,"[[7613, 1.3788822889328003]]","[[7613, 1.3788822889328003], [7119, 1.407714605331421], [8650, 1.4426259994506836], [8175, 1.4581921100616455], [8864, 1.4606250524520874]]","[[7613, 1.3788822889328003], [7119, 1.407714605331421], [8650, 1.4426259994506836], [8175, 1.4581921100616455], [8864, 1.4606250524520874], [7947, 1.4615521430969238], [9223, 1.4702175855636597], [7790, 1.4773281812667847], [8333, 1.4866589307785034], [9204, 1.4868652820587158]]","[[7613, 1.3788822889328003], [7119, 1.407714605331421], [8650, 1.4426259994506836], [8175, 1.4581921100616455], [8864, 1.4606250524520874], [7947, 1.4615521430969238], [9223, 1.4702175855636597], [7790, 1.4773281812667847], [8333, 1.4866589307785034], [9204, 1.4868652820587158], [9692, 1.4885036945343018], [9037, 1.5004191398620605], [7731, 1.501196265220642], [9882, 1.509831190109253], [7145, 1.5152907371520996]]",7119
video8902,a man is looking out a window to look at another man who jumped from the window to his death,"[[7686, 1.4242005348205566]]","[[7686, 1.4242005348205566], [7114, 1.4318808317184448], [7468, 1.4666345119476318], [8249, 1.4711369276046753], [7352, 1.4754154682159424]]","[[7686, 1.4242005348205566], [7114, 1.4318808317184448], [7468, 1.4666345119476318], [8249, 1.4711369276046753], [7352, 1.4754154682159424], [9878, 1.479870319366455], [8808, 1.4813371896743774], [9033, 1.4813380241394043], [8829, 1.487605094909668], [8319, 1.4920554161071777]]","[[7686, 1.4242005348205566], [7114, 1.4318808317184448], [7468, 1.4666345119476318], [8249, 1.4711369276046753], [7352, 1.4754154682159424], [9878, 1.479870319366455], [8808, 1.4813371896743774], [9033, 1.4813380241394043], [8829, 1.487605094909668], [8319, 1.4920554161071777], [8902, 1.5052430629730225], [8266, 1.518420696258545], [7467, 1.5238332748413086], [9323, 1.5262236595153809], [9331, 1.527235746383667]]",8902
