rel_frame_id,query,top1,top5,top10,top15,ground_truth
video7579,a girl wearing red top and black trouser is putting a sweater on a dog,"[[7579, 1.4025176763534546]]","[[7579, 1.4025176763534546], [7113, 1.4259119033813477], [8044, 1.4578959941864014], [7361, 1.4616591930389404], [9232, 1.4691909551620483]]","[[7579, 1.4025176763534546], [7113, 1.4259119033813477], [8044, 1.4578959941864014], [7361, 1.4616591930389404], [9232, 1.4691909551620483], [9639, 1.471923589706421], [9034, 1.4795992374420166], [8316, 1.482041597366333], [9405, 1.4854382276535034], [9341, 1.4869102239608765]]","[[7579, 1.4025176763534546], [7113, 1.4259119033813477], [8044, 1.4578959941864014], [7361, 1.4616591930389404], [9232, 1.4691909551620483], [9639, 1.471923589706421], [9034, 1.4795992374420166], [8316, 1.482041597366333], [9405, 1.4854382276535034], [9341, 1.4869102239608765], [7558, 1.4891583919525146], [9810, 1.4901560544967651], [9228, 1.4933075904846191], [7836, 1.4952659606933594], [8899, 1.5026090145111084]]",7579
video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party,"[[8441, 1.3825130462646484]]","[[8441, 1.3825130462646484], [7725, 1.4156618118286133], [9908, 1.4577584266662598], [9600, 1.4639201164245605], [8556, 1.4698070287704468]]","[[8441, 1.3825130462646484], [7725, 1.4156618118286133], [9908, 1.4577584266662598], [9600, 1.4639201164245605], [8556, 1.4698070287704468], [7141, 1.4831137657165527], [9834, 1.4834449291229248], [8339, 1.4839773178100586], [7144, 1.4846075773239136], [7747, 1.485468864440918]]","[[8441, 1.3825130462646484], [7725, 1.4156618118286133], [9908, 1.4577584266662598], [9600, 1.4639201164245605], [8556, 1.4698070287704468], [7141, 1.4831137657165527], [9834, 1.4834449291229248], [8339, 1.4839773178100586], [7144, 1.4846075773239136], [7747, 1.485468864440918], [9063, 1.4871262311935425], [8466, 1.4915982484817505], [9326, 1.4964816570281982], [7444, 1.5049891471862793], [9752, 1.5071680545806885]]",7725
video9258,a person is using a phone,"[[7728, 1.4489479064941406]]","[[7728, 1.4489479064941406], [7029, 1.4623463153839111], [9258, 1.4660117626190186], [9257, 1.4693928956985474], [7345, 1.4708770513534546]]","[[7728, 1.4489479064941406], [7029, 1.4623463153839111], [9258, 1.4660117626190186], [9257, 1.4693928956985474], [7345, 1.4708770513534546], [7566, 1.4801678657531738], [7350, 1.4845553636550903], [8817, 1.491389513015747], [7363, 1.4914157390594482], [8688, 1.4921112060546875]]","[[7728, 1.4489479064941406], [7029, 1.4623463153839111], [9258, 1.4660117626190186], [9257, 1.4693928956985474], [7345, 1.4708770513534546], [7566, 1.4801678657531738], [7350, 1.4845553636550903], [8817, 1.491389513015747], [7363, 1.4914157390594482], [8688, 1.4921112060546875], [8306, 1.492516040802002], [7687, 1.4926059246063232], [9697, 1.4937713146209717], [9324, 1.4950454235076904], [9603, 1.4965839385986328]]",9258
video7365,cartoon people are eating at a restaurant,"[[8911, 1.4093154668807983]]","[[8911, 1.4093154668807983], [9777, 1.4120123386383057], [7365, 1.4395549297332764], [7747, 1.4573276042938232], [8781, 1.4693158864974976]]","[[8911, 1.4093154668807983], [9777, 1.4120123386383057], [7365, 1.4395549297332764], [7747, 1.4573276042938232], [8781, 1.4693158864974976], [8129, 1.481391191482544], [7835, 1.4823949337005615], [7977, 1.491424322128296], [9537, 1.4925481081008911], [9403, 1.4940742254257202]]","[[8911, 1.4093154668807983], [9777, 1.4120123386383057], [7365, 1.4395549297332764], [7747, 1.4573276042938232], [8781, 1.4693158864974976], [8129, 1.481391191482544], [7835, 1.4823949337005615], [7977, 1.491424322128296], [9537, 1.4925481081008911], [9403, 1.4940742254257202], [9814, 1.4943742752075195], [9022, 1.4975552558898926], [8268, 1.4982686042785645], [9458, 1.4984867572784424], [9350, 1.501800298690796]]",7365
video8068,a woman on a couch talks to a a man,"[[9793, 1.3899463415145874]]","[[9793, 1.3899463415145874], [7724, 1.4295322895050049], [7549, 1.4335342645645142], [8074, 1.438852071762085], [7341, 1.4511957168579102]]","[[9793, 1.3899463415145874], [7724, 1.4295322895050049], [7549, 1.4335342645645142], [8074, 1.438852071762085], [7341, 1.4511957168579102], [8783, 1.454378604888916], [8813, 1.4555070400238037], [7118, 1.4559985399246216], [7546, 1.4587664604187012], [7685, 1.46127188205719]]","[[9793, 1.3899463415145874], [7724, 1.4295322895050049], [7549, 1.4335342645645142], [8074, 1.438852071762085], [7341, 1.4511957168579102], [8783, 1.454378604888916], [8813, 1.4555070400238037], [7118, 1.4559985399246216], [7546, 1.4587664604187012], [7685, 1.46127188205719], [7162, 1.4642119407653809], [8917, 1.4647417068481445], [8265, 1.4710949659347534], [9517, 1.4733972549438477], [7234, 1.473759412765503]]",8068
video7131,athletes are getting ready and start running for an event,"[[8264, 1.4242560863494873]]","[[8264, 1.4242560863494873], [7131, 1.471134901046753], [8316, 1.4831502437591553], [8322, 1.5162088871002197], [9832, 1.5196216106414795]]","[[8264, 1.4242560863494873], [7131, 1.471134901046753], [8316, 1.4831502437591553], [8322, 1.5162088871002197], [9832, 1.5196216106414795], [8128, 1.519674301147461], [8125, 1.5229618549346924], [8936, 1.529444694519043], [7168, 1.5304546356201172], [7776, 1.537715196609497]]","[[8264, 1.4242560863494873], [7131, 1.471134901046753], [8316, 1.4831502437591553], [8322, 1.5162088871002197], [9832, 1.5196216106414795], [8128, 1.519674301147461], [8125, 1.5229618549346924], [8936, 1.529444694519043], [7168, 1.5304546356201172], [7776, 1.537715196609497], [7610, 1.538360834121704], [8306, 1.5387394428253174], [7235, 1.538923978805542], [8339, 1.5391771793365479], [9063, 1.5472238063812256]]",7131
video7213,a woman is making lasagna,"[[7820, 1.406798243522644]]","[[7820, 1.406798243522644], [8910, 1.4130762815475464], [8834, 1.4209957122802734], [7154, 1.4214155673980713], [8479, 1.4338951110839844]]","[[7820, 1.406798243522644], [8910, 1.4130762815475464], [8834, 1.4209957122802734], [7154, 1.4214155673980713], [8479, 1.4338951110839844], [8129, 1.441727638244629], [8899, 1.441939115524292], [7744, 1.4450874328613281], [7360, 1.4459282159805298], [9684, 1.4467735290527344]]","[[7820, 1.406798243522644], [8910, 1.4130762815475464], [8834, 1.4209957122802734], [7154, 1.4214155673980713], [8479, 1.4338951110839844], [8129, 1.441727638244629], [8899, 1.441939115524292], [7744, 1.4450874328613281], [7360, 1.4459282159805298], [9684, 1.4467735290527344], [7565, 1.4484392404556274], [9798, 1.449882984161377], [8654, 1.4519383907318115], [9687, 1.4546806812286377], [9693, 1.4551482200622559]]",7213
video7575,a man speaking in a microphone,"[[7828, 1.382369875907898]]","[[7828, 1.382369875907898], [9474, 1.3994078636169434], [8301, 1.414745807647705], [7491, 1.415225863456726], [9203, 1.4223377704620361]]","[[7828, 1.382369875907898], [9474, 1.3994078636169434], [8301, 1.414745807647705], [7491, 1.415225863456726], [9203, 1.4223377704620361], [8269, 1.4345557689666748], [9690, 1.4382318258285522], [7469, 1.4408644437789917], [9117, 1.4410723447799683], [8445, 1.444362759590149]]","[[7828, 1.382369875907898], [9474, 1.3994078636169434], [8301, 1.414745807647705], [7491, 1.415225863456726], [9203, 1.4223377704620361], [8269, 1.4345557689666748], [9690, 1.4382318258285522], [7469, 1.4408644437789917], [9117, 1.4410723447799683], [8445, 1.444362759590149], [8830, 1.4450851678848267], [9233, 1.4468462467193604], [9522, 1.447114109992981], [9885, 1.4483344554901123], [8072, 1.4503734111785889]]",7575
video7978,a team with blue uniforms are playing badmitten with a team in white,"[[7723, 1.4895586967468262]]","[[7723, 1.4895586967468262], [9647, 1.491666316986084], [8660, 1.4973118305206299], [9013, 1.5026037693023682], [7021, 1.502931833267212]]","[[7723, 1.4895586967468262], [9647, 1.491666316986084], [8660, 1.4973118305206299], [9013, 1.5026037693023682], [7021, 1.502931833267212], [7787, 1.5034849643707275], [7357, 1.504820704460144], [7699, 1.5076433420181274], [9063, 1.5158928632736206], [7839, 1.5176630020141602]]","[[7723, 1.4895586967468262], [9647, 1.491666316986084], [8660, 1.4973118305206299], [9013, 1.5026037693023682], [7021, 1.502931833267212], [7787, 1.5034849643707275], [7357, 1.504820704460144], [7699, 1.5076433420181274], [9063, 1.5158928632736206], [7839, 1.5176630020141602], [7374, 1.5230677127838135], [7112, 1.5238306522369385], [9832, 1.5257676839828491], [8817, 1.5258684158325195], [9681, 1.5261175632476807]]",7978
video8123,a woman is giving demo for baby trolley,"[[8258, 1.3358778953552246]]","[[8258, 1.3358778953552246], [7230, 1.3811085224151611], [9755, 1.4074652194976807], [7827, 1.4168775081634521], [9696, 1.4223576784133911]]","[[8258, 1.3358778953552246], [7230, 1.3811085224151611], [9755, 1.4074652194976807], [7827, 1.4168775081634521], [9696, 1.4223576784133911], [8018, 1.4271104335784912], [9405, 1.4408499002456665], [7113, 1.4484200477600098], [7217, 1.452340841293335], [8899, 1.4667794704437256]]","[[8258, 1.3358778953552246], [7230, 1.3811085224151611], [9755, 1.4074652194976807], [7827, 1.4168775081634521], [9696, 1.4223576784133911], [8018, 1.4271104335784912], [9405, 1.4408499002456665], [7113, 1.4484200477600098], [7217, 1.452340841293335], [8899, 1.4667794704437256], [8123, 1.4682536125183105], [7561, 1.4746010303497314], [7822, 1.4752557277679443], [9404, 1.476741075515747], [8240, 1.4846121072769165]]",8123
video9800,a car is in a wreck,"[[9622, 1.379326343536377]]","[[9622, 1.379326343536377], [9535, 1.4400382041931152], [9806, 1.4401533603668213], [7965, 1.4436662197113037], [9826, 1.4521249532699585]]","[[9622, 1.379326343536377], [9535, 1.4400382041931152], [9806, 1.4401533603668213], [7965, 1.4436662197113037], [9826, 1.4521249532699585], [9355, 1.460730791091919], [9325, 1.4612081050872803], [7464, 1.4671481847763062], [9014, 1.4687609672546387], [7343, 1.475754976272583]]","[[9622, 1.379326343536377], [9535, 1.4400382041931152], [9806, 1.4401533603668213], [7965, 1.4436662197113037], [9826, 1.4521249532699585], [9355, 1.460730791091919], [9325, 1.4612081050872803], [7464, 1.4671481847763062], [9014, 1.4687609672546387], [7343, 1.475754976272583], [9878, 1.4760639667510986], [9508, 1.476483941078186], [9344, 1.4816200733184814], [8468, 1.4839191436767578], [8497, 1.4841104745864868]]",9800
video9205,a woman interviewing about her part in a protest happening in brazil,"[[9028, 1.3891688585281372]]","[[9028, 1.3891688585281372], [7341, 1.4463679790496826], [8311, 1.471369743347168], [9205, 1.47391939163208], [7364, 1.4794237613677979]]","[[9028, 1.3891688585281372], [7341, 1.4463679790496826], [8311, 1.471369743347168], [9205, 1.47391939163208], [7364, 1.4794237613677979], [7162, 1.4829365015029907], [8906, 1.489112377166748], [7580, 1.5004714727401733], [9245, 1.5031218528747559], [8650, 1.5034109354019165]]","[[9028, 1.3891688585281372], [7341, 1.4463679790496826], [8311, 1.471369743347168], [9205, 1.47391939163208], [7364, 1.4794237613677979], [7162, 1.4829365015029907], [8906, 1.489112377166748], [7580, 1.5004714727401733], [9245, 1.5031218528747559], [8650, 1.5034109354019165], [9228, 1.5052295923233032], [9451, 1.5130417346954346], [9404, 1.5147948265075684], [9681, 1.515390157699585], [8904, 1.5155869722366333]]",9205
video7590,an emotional scene of two persons where they are crying on meeting,"[[7163, 1.4136686325073242]]","[[7163, 1.4136686325073242], [7546, 1.429030418395996], [7590, 1.4350473880767822], [7619, 1.4429197311401367], [7351, 1.4472825527191162]]","[[7163, 1.4136686325073242], [7546, 1.429030418395996], [7590, 1.4350473880767822], [7619, 1.4429197311401367], [7351, 1.4472825527191162], [9686, 1.4477938413619995], [8074, 1.4495220184326172], [8879, 1.4563246965408325], [9750, 1.4596574306488037], [9521, 1.4685559272766113]]","[[7163, 1.4136686325073242], [7546, 1.429030418395996], [7590, 1.4350473880767822], [7619, 1.4429197311401367], [7351, 1.4472825527191162], [9686, 1.4477938413619995], [8074, 1.4495220184326172], [8879, 1.4563246965408325], [9750, 1.4596574306488037], [9521, 1.4685559272766113], [7592, 1.4783790111541748], [8912, 1.4794466495513916], [8012, 1.4797149896621704], [7171, 1.4817228317260742], [8305, 1.483449101448059]]",7590
video9017,the man is driving his motorbike fast and having problems on the race,"[[9806, 1.3791062831878662]]","[[9806, 1.3791062831878662], [8657, 1.3989721536636353], [7464, 1.4107046127319336], [7544, 1.4145445823669434], [9535, 1.4227551221847534]]","[[9806, 1.3791062831878662], [8657, 1.3989721536636353], [7464, 1.4107046127319336], [7544, 1.4145445823669434], [9535, 1.4227551221847534], [9815, 1.4262923002243042], [9017, 1.4322404861450195], [9622, 1.4351155757904053], [7616, 1.442413091659546], [9508, 1.4479773044586182]]","[[9806, 1.3791062831878662], [8657, 1.3989721536636353], [7464, 1.4107046127319336], [7544, 1.4145445823669434], [9535, 1.4227551221847534], [9815, 1.4262923002243042], [9017, 1.4322404861450195], [9622, 1.4351155757904053], [7616, 1.442413091659546], [9508, 1.4479773044586182], [8934, 1.4514999389648438], [7235, 1.4517784118652344], [9813, 1.452620029449463], [8089, 1.4532852172851562], [7219, 1.4570741653442383]]",9017
video9241,japanese people laughing and dancing,"[[7725, 1.4418967962265015]]","[[7725, 1.4418967962265015], [8899, 1.4540202617645264], [9639, 1.4546318054199219], [7837, 1.4588658809661865], [9404, 1.4613926410675049]]","[[7725, 1.4418967962265015], [8899, 1.4540202617645264], [9639, 1.4546318054199219], [7837, 1.4588658809661865], [9404, 1.4613926410675049], [7747, 1.463124394416809], [7593, 1.4667304754257202], [9682, 1.4676146507263184], [9513, 1.4694310426712036], [9834, 1.4708106517791748]]","[[7725, 1.4418967962265015], [8899, 1.4540202617645264], [9639, 1.4546318054199219], [7837, 1.4588658809661865], [9404, 1.4613926410675049], [7747, 1.463124394416809], [7593, 1.4667304754257202], [9682, 1.4676146507263184], [9513, 1.4694310426712036], [9834, 1.4708106517791748], [8012, 1.4725711345672607], [7363, 1.4726675748825073], [8129, 1.4754679203033447], [9241, 1.4766197204589844], [8339, 1.4779361486434937]]",9241
video7158,fox news presidential debate recapping the gop debate with donald trump and ted cruz,"[[7158, 1.289113163948059]]","[[7158, 1.289113163948059], [7731, 1.3799641132354736], [8464, 1.3848013877868652], [9223, 1.415520191192627], [8789, 1.4311655759811401]]","[[7158, 1.289113163948059], [7731, 1.3799641132354736], [8464, 1.3848013877868652], [9223, 1.415520191192627], [8789, 1.4311655759811401], [9517, 1.4845377206802368], [7234, 1.4886231422424316], [9512, 1.4910483360290527], [7754, 1.4973978996276855], [8794, 1.5120375156402588]]","[[7158, 1.289113163948059], [7731, 1.3799641132354736], [8464, 1.3848013877868652], [9223, 1.415520191192627], [8789, 1.4311655759811401], [9517, 1.4845377206802368], [7234, 1.4886231422424316], [9512, 1.4910483360290527], [7754, 1.4973978996276855], [8794, 1.5120375156402588], [9777, 1.515292763710022], [7352, 1.5183792114257812], [7613, 1.523313045501709], [8471, 1.523653507232666], [7698, 1.524359107017517]]",7158
video9233,a man is giving a speech,"[[9233, 1.418190836906433]]","[[9233, 1.418190836906433], [7828, 1.4192640781402588], [8445, 1.4291245937347412], [8301, 1.4413437843322754], [9474, 1.4478733539581299]]","[[9233, 1.418190836906433], [7828, 1.4192640781402588], [8445, 1.4291245937347412], [8301, 1.4413437843322754], [9474, 1.4478733539581299], [7619, 1.449416995048523], [9522, 1.4557371139526367], [7171, 1.4563785791397095], [7410, 1.4585105180740356], [9203, 1.4594273567199707]]","[[9233, 1.418190836906433], [7828, 1.4192640781402588], [8445, 1.4291245937347412], [8301, 1.4413437843322754], [9474, 1.4478733539581299], [7619, 1.449416995048523], [9522, 1.4557371139526367], [7171, 1.4563785791397095], [7410, 1.4585105180740356], [9203, 1.4594273567199707], [7412, 1.4601564407348633], [8804, 1.4664437770843506], [9117, 1.4787495136260986], [8336, 1.4799234867095947], [8861, 1.4799655675888062]]",9233
