video_id,sentence,ground_truth,top1,top5,top10,top10_raw_res
2960,a cartoon animals runs through an ice cave in a video game,2960,"[[8203, 1.3518543243408203]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242], [4462, 1.468991756439209], [7821, 1.4724347591400146], [5744, 1.476823329925537], [8567, 1.4791474342346191], [3713, 1.4855239391326904]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242], [4462, 1.468991756439209], [7821, 1.4724347591400146], [5744, 1.476823329925537], [8567, 1.4791474342346191], [3713, 1.4855239391326904]]"
2960,a cartoon character runs around inside of a video game,2960,"[[4462, 1.420356273651123]]","[[4462, 1.420356273651123], [6841, 1.4255818128585815], [1368, 1.4360970258712769], [3135, 1.4391367435455322], [2874, 1.4413526058197021]]","[[4462, 1.420356273651123], [6841, 1.4255818128585815], [1368, 1.4360970258712769], [3135, 1.4391367435455322], [2874, 1.4413526058197021], [6790, 1.4463608264923096], [8203, 1.448087215423584], [789, 1.44866943359375], [2621, 1.4509391784667969], [1742, 1.4511728286743164]]","[[4462, 1.420356273651123], [6841, 1.4255818128585815], [1368, 1.4360970258712769], [3135, 1.4391367435455322], [2874, 1.4413526058197021], [6790, 1.4463608264923096], [8203, 1.448087215423584], [789, 1.44866943359375], [2621, 1.4509391784667969], [1742, 1.4511728286743164]]"
2960,a character is running in the snow,2960,"[[8203, 1.3948254585266113]]","[[8203, 1.3948254585266113], [2960, 1.4484233856201172], [7328, 1.448801875114441], [5853, 1.4639129638671875], [6251, 1.4702515602111816]]","[[8203, 1.3948254585266113], [2960, 1.4484233856201172], [7328, 1.448801875114441], [5853, 1.4639129638671875], [6251, 1.4702515602111816], [5744, 1.4708651304244995], [187, 1.4740134477615356], [4462, 1.4779059886932373], [4945, 1.4817233085632324], [730, 1.4828441143035889]]","[[8203, 1.3948254585266113], [2960, 1.4484233856201172], [7328, 1.448801875114441], [5853, 1.4639129638671875], [6251, 1.4702515602111816], [5744, 1.4708651304244995], [187, 1.4740134477615356], [4462, 1.4779059886932373], [4945, 1.4817233085632324], [730, 1.4828441143035889]]"
2960,a person plays a video game centered around ice age the movie,2960,"[[8203, 1.3764996528625488]]","[[8203, 1.3764996528625488], [6790, 1.3854682445526123], [5744, 1.4214403629302979], [2960, 1.4253463745117188], [1368, 1.4434983730316162]]","[[8203, 1.3764996528625488], [6790, 1.3854682445526123], [5744, 1.4214403629302979], [2960, 1.4253463745117188], [1368, 1.4434983730316162], [2874, 1.476135492324829], [3416, 1.4761674404144287], [9134, 1.4813647270202637], [3191, 1.4819824695587158], [8406, 1.4925799369812012]]","[[8203, 1.3764996528625488], [6790, 1.3854682445526123], [5744, 1.4214403629302979], [2960, 1.4253463745117188], [1368, 1.4434983730316162], [2874, 1.476135492324829], [3416, 1.4761674404144287], [9134, 1.4813647270202637], [3191, 1.4819824695587158], [8406, 1.4925799369812012]]"
2960,a person plays online and records themselves,2960,"[[6819, 1.4372600317001343]]","[[6819, 1.4372600317001343], [4635, 1.445406436920166], [4391, 1.4497307538986206], [8860, 1.4539172649383545], [7331, 1.4569412469863892]]","[[6819, 1.4372600317001343], [4635, 1.445406436920166], [4391, 1.4497307538986206], [8860, 1.4539172649383545], [7331, 1.4569412469863892], [5332, 1.4580233097076416], [4873, 1.4584109783172607], [607, 1.4612010717391968], [5285, 1.461472511291504], [3341, 1.4627165794372559]]","[[6819, 1.4372600317001343], [4635, 1.445406436920166], [4391, 1.4497307538986206], [8860, 1.4539172649383545], [7331, 1.4569412469863892], [5332, 1.4580233097076416], [4873, 1.4584109783172607], [607, 1.4612010717391968], [5285, 1.461472511291504], [3341, 1.4627165794372559]]"
2960,a scene from the ice age video game is shown,2960,"[[6790, 1.3965474367141724]]","[[6790, 1.3965474367141724], [8203, 1.3982431888580322], [5744, 1.4306800365447998], [2960, 1.432607889175415], [1368, 1.4510784149169922]]","[[6790, 1.3965474367141724], [8203, 1.3982431888580322], [5744, 1.4306800365447998], [2960, 1.432607889175415], [1368, 1.4510784149169922], [3191, 1.4728713035583496], [8898, 1.488008975982666], [3416, 1.4909863471984863], [2874, 1.4925211668014526], [4979, 1.4931409358978271]]","[[6790, 1.3965474367141724], [8203, 1.3982431888580322], [5744, 1.4306800365447998], [2960, 1.432607889175415], [1368, 1.4510784149169922], [3191, 1.4728713035583496], [8898, 1.488008975982666], [3416, 1.4909863471984863], [2874, 1.4925211668014526], [4979, 1.4931409358978271]]"
2960,a video game character is jumping about in a cave,2960,"[[789, 1.425894856452942]]","[[789, 1.425894856452942], [2960, 1.437798261642456], [6478, 1.4384125471115112], [4462, 1.4447205066680908], [1368, 1.44559645652771]]","[[789, 1.425894856452942], [2960, 1.437798261642456], [6478, 1.4384125471115112], [4462, 1.4447205066680908], [1368, 1.44559645652771], [8203, 1.4543049335479736], [8256, 1.4564733505249023], [1052, 1.4640860557556152], [686, 1.4674632549285889], [9074, 1.4691503047943115]]","[[789, 1.425894856452942], [2960, 1.437798261642456], [6478, 1.4384125471115112], [4462, 1.4447205066680908], [1368, 1.44559645652771], [8203, 1.4543049335479736], [8256, 1.4564733505249023], [1052, 1.4640860557556152], [686, 1.4674632549285889], [9074, 1.4691503047943115]]"
2960,a video game of a little animal running through an ice tunnel,2960,"[[8203, 1.3386409282684326]]","[[8203, 1.3386409282684326], [2960, 1.3730205297470093], [3121, 1.4597184658050537], [789, 1.4612436294555664], [5260, 1.4641149044036865]]","[[8203, 1.3386409282684326], [2960, 1.3730205297470093], [3121, 1.4597184658050537], [789, 1.4612436294555664], [5260, 1.4641149044036865], [5906, 1.4645049571990967], [1742, 1.466145396232605], [3713, 1.4667184352874756], [2874, 1.4715759754180908], [4462, 1.4729464054107666]]","[[8203, 1.3386409282684326], [2960, 1.3730205297470093], [3121, 1.4597184658050537], [789, 1.4612436294555664], [5260, 1.4641149044036865], [5906, 1.4645049571990967], [1742, 1.466145396232605], [3713, 1.4667184352874756], [2874, 1.4715759754180908], [4462, 1.4729464054107666]]"
2960,a video game of a small animal,2960,"[[4277, 1.4287528991699219]]","[[4277, 1.4287528991699219], [6236, 1.4375556707382202], [6790, 1.4389581680297852], [5480, 1.4399230480194092], [8203, 1.4402539730072021]]","[[4277, 1.4287528991699219], [6236, 1.4375556707382202], [6790, 1.4389581680297852], [5480, 1.4399230480194092], [8203, 1.4402539730072021], [4231, 1.445756196975708], [4387, 1.4465739727020264], [3713, 1.44732666015625], [7798, 1.4478321075439453], [3121, 1.4482035636901855]]","[[4277, 1.4287528991699219], [6236, 1.4375556707382202], [6790, 1.4389581680297852], [5480, 1.4399230480194092], [8203, 1.4402539730072021], [4231, 1.445756196975708], [4387, 1.4465739727020264], [3713, 1.44732666015625], [7798, 1.4478321075439453], [3121, 1.4482035636901855]]"
2960,a video shows gameplay from ice age,2960,"[[8203, 1.3817040920257568]]","[[8203, 1.3817040920257568], [6790, 1.38494873046875], [5744, 1.4204177856445312], [2960, 1.4246511459350586], [1368, 1.4293560981750488]]","[[8203, 1.3817040920257568], [6790, 1.38494873046875], [5744, 1.4204177856445312], [2960, 1.4246511459350586], [1368, 1.4293560981750488], [2874, 1.4700161218643188], [8898, 1.4797532558441162], [3191, 1.4830392599105835], [8406, 1.4916083812713623], [4873, 1.4923336505889893]]","[[8203, 1.3817040920257568], [6790, 1.38494873046875], [5744, 1.4204177856445312], [2960, 1.4246511459350586], [1368, 1.4293560981750488], [2874, 1.4700161218643188], [8898, 1.4797532558441162], [3191, 1.4830392599105835], [8406, 1.4916083812713623], [4873, 1.4923336505889893]]"
2960,a weasel runs around in an icy cave,2960,"[[9460, 1.4628686904907227]]","[[9460, 1.4628686904907227], [8493, 1.4799386262893677], [6007, 1.5049275159835815], [2309, 1.5085290670394897], [5773, 1.5108425617218018]]","[[9460, 1.4628686904907227], [8493, 1.4799386262893677], [6007, 1.5049275159835815], [2309, 1.5085290670394897], [5773, 1.5108425617218018], [4014, 1.5131027698516846], [6348, 1.5345582962036133], [2948, 1.5434143543243408], [6978, 1.5459543466567993], [9620, 1.5494956970214844]]","[[9460, 1.4628686904907227], [8493, 1.4799386262893677], [6007, 1.5049275159835815], [2309, 1.5085290670394897], [5773, 1.5108425617218018], [4014, 1.5131027698516846], [6348, 1.5345582962036133], [2948, 1.5434143543243408], [6978, 1.5459543466567993], [9620, 1.5494956970214844]]"
2960,an animal runs through an icy tunnel in a video game,2960,"[[8203, 1.3656604290008545]]","[[8203, 1.3656604290008545], [2960, 1.3946495056152344], [789, 1.4537990093231201], [686, 1.469088077545166], [5906, 1.4704757928848267]]","[[8203, 1.3656604290008545], [2960, 1.3946495056152344], [789, 1.4537990093231201], [686, 1.469088077545166], [5906, 1.4704757928848267], [3121, 1.4714491367340088], [5260, 1.4728147983551025], [5744, 1.4755818843841553], [1745, 1.4768297672271729], [1742, 1.4770467281341553]]","[[8203, 1.3656604290008545], [2960, 1.3946495056152344], [789, 1.4537990093231201], [686, 1.469088077545166], [5906, 1.4704757928848267], [3121, 1.4714491367340088], [5260, 1.4728147983551025], [5744, 1.4755818843841553], [1745, 1.4768297672271729], [1742, 1.4770467281341553]]"
2960,crash and eddie on an ice age video game,2960,"[[8203, 1.3856121301651]]","[[8203, 1.3856121301651], [6790, 1.4063687324523926], [2960, 1.429700493812561], [1368, 1.4423562288284302], [5744, 1.4507653713226318]]","[[8203, 1.3856121301651], [6790, 1.4063687324523926], [2960, 1.429700493812561], [1368, 1.4423562288284302], [5744, 1.4507653713226318], [3191, 1.4507744312286377], [2874, 1.4724446535110474], [8898, 1.4858351945877075], [8406, 1.4896891117095947], [3416, 1.4928336143493652]]","[[8203, 1.3856121301651], [6790, 1.4063687324523926], [2960, 1.429700493812561], [1368, 1.4423562288284302], [5744, 1.4507653713226318], [3191, 1.4507744312286377], [2874, 1.4724446535110474], [8898, 1.4858351945877075], [8406, 1.4896891117095947], [3416, 1.4928336143493652]]"
2960,gameplay footage of someone playing a game,2960,"[[6478, 1.4711140394210815]]","[[6478, 1.4711140394210815], [5332, 1.4733023643493652], [4997, 1.4737744331359863], [2162, 1.474664568901062], [2977, 1.4752025604248047]]","[[6478, 1.4711140394210815], [5332, 1.4733023643493652], [4997, 1.4737744331359863], [2162, 1.474664568901062], [2977, 1.4752025604248047], [3863, 1.4754900932312012], [262, 1.4756884574890137], [4272, 1.4759360551834106], [3713, 1.4761309623718262], [5535, 1.4763137102127075]]","[[6478, 1.4711140394210815], [5332, 1.4733023643493652], [4997, 1.4737744331359863], [2162, 1.474664568901062], [2977, 1.4752025604248047], [3863, 1.4754900932312012], [262, 1.4756884574890137], [4272, 1.4759360551834106], [3713, 1.4761309623718262], [5535, 1.4763137102127075]]"
2960,ice age video game main character walks around,2960,"[[6790, 1.3943490982055664]]","[[6790, 1.3943490982055664], [8203, 1.405090570449829], [2960, 1.4200986623764038], [5744, 1.435490608215332], [1368, 1.4358117580413818]]","[[6790, 1.3943490982055664], [8203, 1.405090570449829], [2960, 1.4200986623764038], [5744, 1.435490608215332], [1368, 1.4358117580413818], [8898, 1.4811851978302002], [2874, 1.4828171730041504], [3945, 1.4928849935531616], [9134, 1.497244119644165], [8406, 1.497793197631836]]","[[6790, 1.3943490982055664], [8203, 1.405090570449829], [2960, 1.4200986623764038], [5744, 1.435490608215332], [1368, 1.4358117580413818], [8898, 1.4811851978302002], [2874, 1.4828171730041504], [3945, 1.4928849935531616], [9134, 1.497244119644165], [8406, 1.497793197631836]]"
2960,someone is playing a video game,2960,"[[5800, 1.4699444770812988]]","[[5800, 1.4699444770812988], [6090, 1.4714634418487549], [3214, 1.4719228744506836], [545, 1.472053050994873], [5332, 1.4723706245422363]]","[[5800, 1.4699444770812988], [6090, 1.4714634418487549], [3214, 1.4719228744506836], [545, 1.472053050994873], [5332, 1.4723706245422363], [2621, 1.4769929647445679], [7919, 1.4770212173461914], [1779, 1.4771116971969604], [3349, 1.4772911071777344], [4448, 1.4777342081069946]]","[[5800, 1.4699444770812988], [6090, 1.4714634418487549], [3214, 1.4719228744506836], [545, 1.472053050994873], [5332, 1.4723706245422363], [2621, 1.4769929647445679], [7919, 1.4770212173461914], [1779, 1.4771116971969604], [3349, 1.4772911071777344], [4448, 1.4777342081069946]]"
