rel_video_id,query,top1,top5,top10,ground_truth
video7579,a girl wearing red top and black trouser is putting a sweater on a dog,"[[7579, 1.4053199291229248]]","[[7579, 1.4053199291229248], [8837, 1.48020339012146], [9347, 1.4851605892181396], [9603, 1.4874485731124878], [8604, 1.4898539781570435]]","[[7579, 1.4053199291229248], [8837, 1.48020339012146], [9347, 1.4851605892181396], [9603, 1.4874485731124878], [8604, 1.4898539781570435], [9969, 1.4919854402542114], [8825, 1.5042189359664917], [8866, 1.5132720470428467], [9034, 1.5141098499298096], [9580, 1.5300949811935425]]",7579
video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party,"[[7725, 1.3850996494293213]]","[[7725, 1.3850996494293213], [8339, 1.4895702600479126], [8442, 1.5097464323043823], [8556, 1.514704704284668], [8014, 1.5165164470672607]]","[[7725, 1.3850996494293213], [8339, 1.4895702600479126], [8442, 1.5097464323043823], [8556, 1.514704704284668], [8014, 1.5165164470672607], [8303, 1.5203710794448853], [9815, 1.5209378004074097], [7411, 1.5287556648254395], [9957, 1.5409965515136719], [9254, 1.5453790426254272]]",7725
video9258,a person is using a phone,"[[9258, 1.4063228368759155]]","[[9258, 1.4063228368759155], [9257, 1.4323630332946777], [9697, 1.443520188331604], [7687, 1.480117678642273], [7910, 1.4906079769134521]]","[[9258, 1.4063228368759155], [9257, 1.4323630332946777], [9697, 1.443520188331604], [7687, 1.480117678642273], [7910, 1.4906079769134521], [8924, 1.4915008544921875], [8012, 1.5101141929626465], [9770, 1.530214786529541], [7347, 1.5324814319610596], [7575, 1.5400415658950806]]",9258
video7365,cartoon people are eating at a restaurant,"[[7365, 1.4119383096694946]]","[[7365, 1.4119383096694946], [9537, 1.485461950302124], [7831, 1.4855355024337769], [9777, 1.4859576225280762], [8781, 1.4862388372421265]]","[[7365, 1.4119383096694946], [9537, 1.485461950302124], [7831, 1.4855355024337769], [9777, 1.4859576225280762], [8781, 1.4862388372421265], [7222, 1.4926294088363647], [7741, 1.4991977214813232], [8839, 1.5463787317276], [8911, 1.5465654134750366], [9814, 1.5534676313400269]]",7365
video8068,a woman on a couch talks to a a man,"[[7162, 1.468090295791626]]","[[7162, 1.468090295791626], [8068, 1.4762492179870605], [8304, 1.5003615617752075], [9919, 1.504284143447876], [8813, 1.5061237812042236]]","[[7162, 1.468090295791626], [8068, 1.4762492179870605], [8304, 1.5003615617752075], [9919, 1.504284143447876], [8813, 1.5061237812042236], [7724, 1.5088400840759277], [8826, 1.5090556144714355], [8392, 1.519881248474121], [8120, 1.5225352048873901], [8783, 1.5234589576721191]]",8068
video7131,athletes are getting ready and start running for an event,"[[8264, 1.4095463752746582]]","[[8264, 1.4095463752746582], [8451, 1.4629907608032227], [7131, 1.4631726741790771], [9803, 1.5258053541183472], [8322, 1.5267140865325928]]","[[8264, 1.4095463752746582], [8451, 1.4629907608032227], [7131, 1.4631726741790771], [9803, 1.5258053541183472], [8322, 1.5267140865325928], [7788, 1.5317648649215698], [8262, 1.539214849472046], [7153, 1.544586420059204], [8945, 1.5451834201812744], [8316, 1.549866795539856]]",7131
video7213,a woman is making lasagna,"[[8345, 1.4629178047180176]]","[[8345, 1.4629178047180176], [8915, 1.4792735576629639], [7213, 1.4866149425506592], [8910, 1.4894239902496338], [7165, 1.500754714012146]]","[[8345, 1.4629178047180176], [8915, 1.4792735576629639], [7213, 1.4866149425506592], [8910, 1.4894239902496338], [7165, 1.500754714012146], [9731, 1.5012338161468506], [8662, 1.5067232847213745], [8056, 1.5094845294952393], [8444, 1.5179866552352905], [7591, 1.5205388069152832]]",7213
video7575,a man speaking in a microphone,"[[7828, 1.4629476070404053]]","[[7828, 1.4629476070404053], [7575, 1.4717150926589966], [9885, 1.4853863716125488], [8830, 1.4894793033599854], [8259, 1.493554711341858]]","[[7828, 1.4629476070404053], [7575, 1.4717150926589966], [9885, 1.4853863716125488], [8830, 1.4894793033599854], [8259, 1.493554711341858], [8072, 1.5035207271575928], [9522, 1.5046687126159668], [9233, 1.5054086446762085], [9690, 1.5108966827392578], [7410, 1.512925148010254]]",7575
video7978,a team with blue uniforms are playing badmitten with a team in white,"[[8660, 1.4608581066131592]]","[[8660, 1.4608581066131592], [9823, 1.4626489877700806], [9013, 1.477216362953186], [7500, 1.4782665967941284], [9647, 1.4850671291351318]]","[[8660, 1.4608581066131592], [9823, 1.4626489877700806], [9013, 1.477216362953186], [7500, 1.4782665967941284], [9647, 1.4850671291351318], [8308, 1.4875247478485107], [8675, 1.492209553718567], [7699, 1.492523193359375], [7358, 1.4947201013565063], [7978, 1.5017297267913818]]",7978
video8123,a woman is giving demo for baby trolley,"[[7230, 1.341953992843628]]","[[7230, 1.341953992843628], [8258, 1.3885457515716553], [9755, 1.3932347297668457], [7217, 1.4129748344421387], [8123, 1.447035551071167]]","[[7230, 1.341953992843628], [8258, 1.3885457515716553], [9755, 1.3932347297668457], [7217, 1.4129748344421387], [8123, 1.447035551071167], [8899, 1.4900193214416504], [8863, 1.5168442726135254], [9696, 1.5621850490570068], [7549, 1.564781904220581], [9237, 1.568790316581726]]",8123
video9800,a car is in a wreck,"[[7614, 1.4800231456756592]]","[[7614, 1.4800231456756592], [7649, 1.4850034713745117], [9800, 1.50165593624115], [8246, 1.5201400518417358], [8075, 1.5217329263687134]]","[[7614, 1.4800231456756592], [7649, 1.4850034713745117], [9800, 1.50165593624115], [8246, 1.5201400518417358], [8075, 1.5217329263687134], [9975, 1.5260289907455444], [9622, 1.5300623178482056], [9354, 1.531522274017334], [7752, 1.5372684001922607], [9252, 1.5440112352371216]]",9800
video9205,a woman interviewing about her part in a protest happening in brazil,"[[8022, 1.4899394512176514]]","[[8022, 1.4899394512176514], [8311, 1.5186569690704346], [7364, 1.521937608718872], [9205, 1.5256073474884033], [8650, 1.5310204029083252]]","[[8022, 1.4899394512176514], [8311, 1.5186569690704346], [7364, 1.521937608718872], [9205, 1.5256073474884033], [8650, 1.5310204029083252], [9028, 1.5427573919296265], [8333, 1.5493228435516357], [9131, 1.5540318489074707], [7341, 1.5640921592712402], [7822, 1.5703237056732178]]",9205
video7590,an emotional scene of two persons where they are crying on meeting,"[[7590, 1.3980926275253296]]","[[7590, 1.3980926275253296], [9023, 1.4947609901428223], [7964, 1.5007550716400146], [8974, 1.505136489868164], [9801, 1.505403995513916]]","[[7590, 1.3980926275253296], [9023, 1.4947609901428223], [7964, 1.5007550716400146], [8974, 1.505136489868164], [9801, 1.505403995513916], [8653, 1.5066026449203491], [8330, 1.5128695964813232], [7114, 1.5142743587493896], [7468, 1.5178687572479248], [8442, 1.5189156532287598]]",7590
video9017,the man is driving his motorbike fast and having problems on the race,"[[9017, 1.4280002117156982]]","[[9017, 1.4280002117156982], [8657, 1.4422760009765625], [8820, 1.4626069068908691], [7544, 1.475812554359436], [9609, 1.5225543975830078]]","[[9017, 1.4280002117156982], [8657, 1.4422760009765625], [8820, 1.4626069068908691], [7544, 1.475812554359436], [9609, 1.5225543975830078], [8089, 1.5250744819641113], [7219, 1.5337321758270264], [9813, 1.547794222831726], [8934, 1.5520325899124146], [9742, 1.553300142288208]]",9017
video9241,japanese people laughing and dancing,"[[9241, 1.4041900634765625]]","[[9241, 1.4041900634765625], [9682, 1.4635238647460938], [9131, 1.4850249290466309], [7725, 1.488694667816162], [7028, 1.4966206550598145]]","[[9241, 1.4041900634765625], [9682, 1.4635238647460938], [9131, 1.4850249290466309], [7725, 1.488694667816162], [7028, 1.4966206550598145], [8349, 1.497865915298462], [7212, 1.4998849630355835], [8241, 1.505509614944458], [8303, 1.5068540573120117], [7726, 1.5256373882293701]]",9241
