video_id,sentence
video2960,a cartoon animals runs through an ice cave in a video game
video2636,a man gets hit in the face with a chair during a wwf wrestling match
video4311,a person is explaining something
video1844,a man conducting a science experiment
video2213,a couple of men wrestling on the ground
video3513,a clip of two women from a comedic television show
video2218,a boy wears a black tie
video1974,a band is singing for a music video
video2755,a child is singing a song
video3597,a basketball game is played
video3830,a cartoon dog is holding binoculars
video5249,a band is performing a song on stage
video923,a cartoon character flies around
video6968,a girl is throwing away folded clothes
video2201,a  cartoon star person
video106,7 kids on a back deck at a party singing about something
video1835,70 s  band performing live
video349,a  bunch of people on tiny motorcycles in a race
video1968,a  boy jumps on a trampoline
video6541,a  comparison of two opposing team football athletes
video3615,a  and  tasty and delicious dish
video1217,a  couple photographs of a model
video4419,a  larger woman shows off her red dress while standing on a pier
video177,a  guy flexing his arms
video3932,a  person is folding paper
video24,a  man is driving a car
video5690,a  man interviewing a woman
video6568,a  man and woman get romantic in this bud light ad
video5658,4th of july fireworks
video1893,4th of july fireworks
video3494,3d animation where boy tries to kiss sleeping girl
video2134,3d animation video clip with toddlers and a robot
video1361,3d animation singing children s song
video2102,3d animation sequence involving violence and blood
video3722,3d animation of mother putting daughter to sleep
video2163,3d animation of late night hosts david letterman and jay leno as well as a child watching them on 2 tvs
video5124,3d animation of disaster
video6429,3d anime girls dance on stage
video294,3d cartoon causing kaos
video3687,3d characters dance on stage
video4601,a  professional baseball game advertisement
video3518,4th of july fireworks
video5985,4 of the muppets from the muppet babies are having a conversation
video1919,4 men with suits on sitting at a table discussing hiliary clinton
video842,4 animated guys flying in flight
video1429,6 different men are having a discussion
video4948,3d video of a house plan
video4622,3d text is displayed over a background
video3770,3d rendered my little ponies sing an auto-tuned song
video507,3d golf game walk through with comments
video1701,3d fighting video game preview
video4976,3d cinematic fight scene with magic and medieval weapons
video267,3d characters play on the playground
video4635,3d video game walk through
video1558,a  stout boy is explaining somethign with hand and facial expresion
video332,a  yellow cartoon bird talks with another animal
video2985,a  video of a man and a flyroll
video6491,a a let s player playing garry s mod as luigi with friends
video5344,a 900 lb man is feattured in a documentary
video6548,a 9 year old girl talking to the judges from the television show the voice
video4267,a 70 s hair band ensemble on a dimly lit stage
video5759,a 70 s band is performing their most famous song
video4179,a 458 special car is showcased
video2957,a 3d video game shown on this clip
video2124,a 3d remake of what jesus christ might have looked like
video5492,a 3d heart is pumping
video2792,a 3d game play scene
video6028,a a woman is sitting and folding some cloths
video4389,a action video game is played split screen
video6687,a actor and a actress acting out a scene in a movie
video346,a actor and a actress acting out a scene in a movie
video4857,a advertisement about a car
video3991,a advertisement about a building
video6586,a advertisement about a baby  strolley
video1557,a adventure action game play
video2338,a add to subscribe to a page
video2911,a 3d game play scene
video3636,a ad is for a scary movie
video6789,a ad about an avengers video game
video3781,a actress talks about her movie roles
video1609,a actor talking about how a specific scene was made
video5447,a actor is talking to a reporter
video688,a 3d game play scene
video1875,a 19th century film is shown with some well-dresed women and an african american man
video864,a 1997 acura integra for sale
video1045,a 1980 s music video
video479,a 17-year old teenage girl is utilizing her laptop
video1832,a 17 year old girl is talking about being on her laptop
video5848,a 16bit game with two characters in a clearing in a field
video6747,a 16bit game with people in a field near a fence
video5358,a 16 bit game with where pikachu looks confused
video2366,a 10 year old sings on the voice
video1746,a strategic relocation is discussed
video4078,a  young blonde woman talking to a camera
video3180,a  white stove with tea keetlespatula  2 frying pans and two chefs
video6856,a 16 bit video game character crossing a river and swinging a sword
video1944,a  tutorial on how to draw cartoons via a computer program
video2549,a 2d fighting game is being played
video4460,a 3 point shot made with 82 seconds left in the game
video5762,a 3d dinosaur stares at 3d kid
video3845,a 3d cg alien creature walking around talking
video3453,a 3d cartoon television show
video5319,a 3d baby carriage is shown
video4470,a 3d animation video game
video5112,a 3d animation plays while a woman describes a business model
video6875,a 2-seat stroller is demonstrated on a sound stage
video1501,a 3d animation of animated characters
video6580,a 3d animation movie clip
video2085,a 3d animated video featuring an elephant hopping around
video6837,a 3d animated movie trailer featuring a cartoonish dog and cat
video1435,a 3d animated clip taken inside the game mine craft
video4332,a 3d animated clip featuring a kid with a crown on his head
video5264,a 360 degree video of a room
video977,3d animated characters prepare surprise for friend
video1052,3d animated ninja shows his moves
video4714,1st remove rotor assembly
video2725,1980s dudes act in a film
video2624,19 kids and counting is being discussed
video5839,101 dalmatians animation cartoon with a rat
video3020,we are linux text followed by young people having fun
video2648,the village people are shown dancing in the streets of new york
video4476,robin hood showers riches on the band and audience at the late show
video5238,celebrations plays over an anti-alcohol ad
video1594,a beautiful partners hugging
video1478,2 anime cartoons are talking in a foreign language
video1628,2 boxers getting ready to ace each other
video618,2 cars racing down a road
video3031,2 larger wrestlers competing on a white mat
video698,2 korean women side-by-side identified as north and south showing of their makeup to some intense music
video1564,2 guys talking about favorite rugrats episodes
video4638,2 girls are talking about what they got for each other
video6119,2 girls are talking about baby food
video6611,2 foreing speaking girls saying something then playing it in reverse
video1664,2 cute parrots sitting nicely
video5407,2 couples have a conversation
video3198,2 contestants are kissing
video3852,2 characters on this cartoon clip
video571,2 cats are seen in a clear plastic container
video377,2 girls and a boy are performing on a stage
video2135,2 male voice as speaking about a video game being shown
video3860,3d animated race track put together
video1629,3 people in a kitchen talking about cupcakes and then the countdown ends
video2170,3 people are moving along together
video758,3 people are angry on something
video5014,3 monkeys are jumping on a bed
video6213,3 men talking to each other
video1756,3 men standing speaking a language that i do not understand
video3762,3 men sitting around a table having a conversation
video5836,3 men are talking in a room
video2691,3 men are playing drama
video4575,3 kids singing on the voice
video3265,3 guys talking about if wiffleball or baseball is better
video5176,3 guys singing and playing pop song
video6084,3 females seriously involved in chatting
video3044,3 raccoons eating pizza out of a box
video4784,a advertisement about a car
video5981,3d animated character cuts a wire
video1447,3d african animals running
video6330,3 young adults are singing on a stage
video6352,3 women dancing to a groovy beat
video4684,3 woman talking in a living room
video6959,3 woman talking about a hair care product
video6154,3d animated animals in africa
video3702,2 men are dressed in abraham lincoln costumes
video4386,3 children in their early teens are shown working at a desk and one girl is featured reading her essay
video4203,3 cartoon characters shown here
video4412,2 men sit in the interior of a car while driving
video1676,2 men in red uniforms are pulling up a woman from the water
video910,2 men in a wrestling ring
video6069,2 men fighting in a boxing match
video1839,2 men eat salad drink from red cups and one performs telekinesis in a comedic video
video1679,2 men chatting while driving in a car
video3727,2 men are wrestling in a ring
video2006,2 men are working on brake pads
video5194,2 men are walking through an underground tunnel
video4237,2 men are shown driving a truck
video3512,2 men are seated across from each other talking
video6518,2 men are in a wrestling match
video945,2 men are in a wrestling match
video2448,2 people are enjoying their time entertaining here
video3487,2 people discussing minecraft and friendly fire
video6591,2 people discussing seriously
video4524,2 people singing together
video5788,2d animation movie is playing
video5962,2016 election is discussed on the news
video4082,2015 minnesota wrestling tournament
video4182,2000 presidential campaign speech on c-span2
