rel_frame_id,query,top1,top5,top10,top15,ground_truth
video8469,two parrots in a bird cage one white chick and on green adult,"[[7546, 1.4175093173980713]]","[[7546, 1.4175093173980713], [8469, 1.4307200908660889], [7849, 1.4471447467803955], [8481, 1.4707032442092896], [8786, 1.471763014793396]]","[[7546, 1.4175093173980713], [8469, 1.4307200908660889], [7849, 1.4471447467803955], [8481, 1.4707032442092896], [8786, 1.471763014793396], [8268, 1.474560022354126], [9835, 1.4755606651306152], [7822, 1.4799845218658447], [9805, 1.4832587242126465], [9828, 1.4850685596466064]]","[[7546, 1.4175093173980713], [8469, 1.4307200908660889], [7849, 1.4471447467803955], [8481, 1.4707032442092896], [8786, 1.471763014793396], [8268, 1.474560022354126], [9835, 1.4755606651306152], [7822, 1.4799845218658447], [9805, 1.4832587242126465], [9828, 1.4850685596466064], [7113, 1.4853744506835938], [9014, 1.490508794784546], [8302, 1.4959053993225098], [9224, 1.49636971950531], [8476, 1.4967190027236938]]",8469
video9687,a man chopping lobster and taking off the shell,"[[9687, 1.3523515462875366]]","[[9687, 1.3523515462875366], [9309, 1.3865060806274414], [8025, 1.3969764709472656], [8686, 1.4153034687042236], [8129, 1.4180206060409546]]","[[9687, 1.3523515462875366], [9309, 1.3865060806274414], [8025, 1.3969764709472656], [8686, 1.4153034687042236], [8129, 1.4180206060409546], [8834, 1.4316245317459106], [7799, 1.4318195581436157], [7966, 1.4355297088623047], [7968, 1.435888648033142], [8325, 1.4402821063995361]]","[[9687, 1.3523515462875366], [9309, 1.3865060806274414], [8025, 1.3969764709472656], [8686, 1.4153034687042236], [8129, 1.4180206060409546], [8834, 1.4316245317459106], [7799, 1.4318195581436157], [7966, 1.4355297088623047], [7968, 1.435888648033142], [8325, 1.4402821063995361], [8300, 1.4415349960327148], [9038, 1.4435046911239624], [8489, 1.4438247680664062], [9335, 1.4474334716796875], [9693, 1.4493669271469116]]",9687
video7698,two women are walking in a parking lot,"[[8899, 1.390440583229065]]","[[8899, 1.390440583229065], [7138, 1.4211058616638184], [7212, 1.42289137840271], [8016, 1.4232873916625977], [9832, 1.4365826845169067]]","[[8899, 1.390440583229065], [7138, 1.4211058616638184], [7212, 1.42289137840271], [8016, 1.4232873916625977], [9832, 1.4365826845169067], [8123, 1.4381227493286133], [8306, 1.440157175064087], [8935, 1.4452184438705444], [7116, 1.448793649673462], [8657, 1.452881932258606]]","[[8899, 1.390440583229065], [7138, 1.4211058616638184], [7212, 1.42289137840271], [8016, 1.4232873916625977], [9832, 1.4365826845169067], [8123, 1.4381227493286133], [8306, 1.440157175064087], [8935, 1.4452184438705444], [7116, 1.448793649673462], [8657, 1.452881932258606], [7822, 1.4585009813308716], [9239, 1.4599250555038452], [9489, 1.4599422216415405], [8044, 1.4605803489685059], [7730, 1.4619919061660767]]",7698
video9503,a woman is talking about how jeans with patches or rips is trendy,"[[9503, 1.387997031211853]]","[[9503, 1.387997031211853], [8825, 1.424526572227478], [7724, 1.441739559173584], [8488, 1.4568039178848267], [8824, 1.4621877670288086]]","[[9503, 1.387997031211853], [8825, 1.424526572227478], [7724, 1.441739559173584], [8488, 1.4568039178848267], [8824, 1.4621877670288086], [9039, 1.4636822938919067], [8669, 1.4644337892532349], [7684, 1.4659239053726196], [7116, 1.4682990312576294], [9793, 1.46834397315979]]","[[9503, 1.387997031211853], [8825, 1.424526572227478], [7724, 1.441739559173584], [8488, 1.4568039178848267], [8824, 1.4621877670288086], [9039, 1.4636822938919067], [8669, 1.4644337892532349], [7684, 1.4659239053726196], [7116, 1.4682990312576294], [9793, 1.46834397315979], [9419, 1.4735994338989258], [9348, 1.4751026630401611], [7577, 1.4790043830871582], [9250, 1.4796104431152344], [7418, 1.4796756505966187]]",9503
video8903,a naked child runs through a field,"[[8125, 1.4102811813354492]]","[[8125, 1.4102811813354492], [9240, 1.42606782913208], [8931, 1.4346017837524414], [9031, 1.4469490051269531], [7025, 1.4590407609939575]]","[[8125, 1.4102811813354492], [9240, 1.42606782913208], [8931, 1.4346017837524414], [9031, 1.4469490051269531], [7025, 1.4590407609939575], [7021, 1.4598885774612427], [9805, 1.4666937589645386], [8089, 1.4698123931884766], [8655, 1.471367597579956], [9511, 1.4781874418258667]]","[[8125, 1.4102811813354492], [9240, 1.42606782913208], [8931, 1.4346017837524414], [9031, 1.4469490051269531], [7025, 1.4590407609939575], [7021, 1.4598885774612427], [9805, 1.4666937589645386], [8089, 1.4698123931884766], [8655, 1.471367597579956], [9511, 1.4781874418258667], [9510, 1.4799070358276367], [9451, 1.4805309772491455], [8123, 1.4837298393249512], [8016, 1.4842967987060547], [8507, 1.4852067232131958]]",8903
video7415,a salad in a bowl is being filmed on a table,"[[7415, 1.3816285133361816]]","[[7415, 1.3816285133361816], [7968, 1.3894598484039307], [7559, 1.3907339572906494], [7845, 1.3949623107910156], [8772, 1.3991584777832031]]","[[7415, 1.3816285133361816], [7968, 1.3894598484039307], [7559, 1.3907339572906494], [7845, 1.3949623107910156], [8772, 1.3991584777832031], [9356, 1.4163737297058105], [8514, 1.4166932106018066], [9693, 1.4171931743621826], [8686, 1.427402138710022], [7566, 1.431847095489502]]","[[7415, 1.3816285133361816], [7968, 1.3894598484039307], [7559, 1.3907339572906494], [7845, 1.3949623107910156], [8772, 1.3991584777832031], [9356, 1.4163737297058105], [8514, 1.4166932106018066], [9693, 1.4171931743621826], [8686, 1.427402138710022], [7566, 1.431847095489502], [9639, 1.4326035976409912], [7360, 1.4364309310913086], [7213, 1.437733769416809], [8300, 1.4409385919570923], [8129, 1.4422153234481812]]",7415
video8807,a couple dancing doing salsa,"[[9957, 1.4185043573379517]]","[[9957, 1.4185043573379517], [7212, 1.4299741983413696], [7200, 1.4337518215179443], [8807, 1.435997724533081], [8899, 1.4362196922302246]]","[[9957, 1.4185043573379517], [7212, 1.4299741983413696], [7200, 1.4337518215179443], [8807, 1.435997724533081], [8899, 1.4362196922302246], [7593, 1.4451496601104736], [7732, 1.4539096355438232], [8786, 1.4539461135864258], [8815, 1.454357385635376], [7725, 1.4557301998138428]]","[[9957, 1.4185043573379517], [7212, 1.4299741983413696], [7200, 1.4337518215179443], [8807, 1.435997724533081], [8899, 1.4362196922302246], [7593, 1.4451496601104736], [7732, 1.4539096355438232], [8786, 1.4539461135864258], [8815, 1.454357385635376], [7725, 1.4557301998138428], [9518, 1.4572216272354126], [8476, 1.4589219093322754], [8339, 1.4591965675354004], [7558, 1.4621492624282837], [8652, 1.4624803066253662]]",8807
video7348,a girl is talking about relationships,"[[9419, 1.433091402053833]]","[[9419, 1.433091402053833], [8075, 1.4571995735168457], [8488, 1.457680344581604], [8254, 1.4599127769470215], [8824, 1.4614355564117432]]","[[9419, 1.433091402053833], [8075, 1.4571995735168457], [8488, 1.457680344581604], [8254, 1.4599127769470215], [8824, 1.4614355564117432], [9698, 1.463135838508606], [7724, 1.4657471179962158], [9607, 1.4661263227462769], [8123, 1.4712145328521729], [8486, 1.4717791080474854]]","[[9419, 1.433091402053833], [8075, 1.4571995735168457], [8488, 1.457680344581604], [8254, 1.4599127769470215], [8824, 1.4614355564117432], [9698, 1.463135838508606], [7724, 1.4657471179962158], [9607, 1.4661263227462769], [8123, 1.4712145328521729], [8486, 1.4717791080474854], [8792, 1.4728615283966064], [8895, 1.4730632305145264], [8471, 1.4736889600753784], [9688, 1.474537968635559], [8011, 1.4751800298690796]]",7348
video7119,a man in a suit and a woman wearing brown giving the news,"[[8333, 1.3092401027679443]]","[[8333, 1.3092401027679443], [9690, 1.3277636766433716], [8650, 1.3409795761108398], [7613, 1.3650566339492798], [7119, 1.3763487339019775]]","[[8333, 1.3092401027679443], [9690, 1.3277636766433716], [8650, 1.3409795761108398], [7613, 1.3650566339492798], [7119, 1.3763487339019775], [7469, 1.3824059963226318], [7754, 1.395664095878601], [9037, 1.4007905721664429], [8175, 1.401543140411377], [9204, 1.4021248817443848]]","[[8333, 1.3092401027679443], [9690, 1.3277636766433716], [8650, 1.3409795761108398], [7613, 1.3650566339492798], [7119, 1.3763487339019775], [7469, 1.3824059963226318], [7754, 1.395664095878601], [9037, 1.4007905721664429], [8175, 1.401543140411377], [9204, 1.4021248817443848], [9028, 1.4121251106262207], [9223, 1.4141535758972168], [7234, 1.4147570133209229], [8930, 1.4184508323669434], [9245, 1.4246313571929932]]",7119
video8902,a man is looking out a window to look at another man who jumped from the window to his death,"[[8945, 1.3817387819290161]]","[[8945, 1.3817387819290161], [9323, 1.3865132331848145], [7822, 1.4113044738769531], [7780, 1.415191411972046], [7114, 1.4158467054367065]]","[[8945, 1.3817387819290161], [9323, 1.3865132331848145], [7822, 1.4113044738769531], [7780, 1.415191411972046], [7114, 1.4158467054367065], [9871, 1.4199256896972656], [8497, 1.4247982501983643], [9511, 1.4379143714904785], [8416, 1.4396967887878418], [9033, 1.440688133239746]]","[[8945, 1.3817387819290161], [9323, 1.3865132331848145], [7822, 1.4113044738769531], [7780, 1.415191411972046], [7114, 1.4158467054367065], [9871, 1.4199256896972656], [8497, 1.4247982501983643], [9511, 1.4379143714904785], [8416, 1.4396967887878418], [9033, 1.440688133239746], [7766, 1.4414823055267334], [8499, 1.4439235925674438], [9331, 1.4448473453521729], [9405, 1.4453606605529785], [9878, 1.4482274055480957]]",8902
