frame_path_1,frame_path_2,frame_path_3,frame_path_4,video_id,frame_id,sentence
./frames_data/1k_multi_frames_4/video7579_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video7579_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video7579_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video7579_frame_004_of_004.jpg,video7579,video7579,a girl wearing red top and black trouser is putting a sweater on a dog
./frames_data/1k_multi_frames_4/video7725_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video7725_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video7725_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video7725_frame_004_of_004.jpg,video7725,video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party
./frames_data/1k_multi_frames_4/video9258_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video9258_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video9258_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video9258_frame_004_of_004.jpg,video9258,video9258,a person is using a phone
./frames_data/1k_multi_frames_4/video7365_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video7365_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video7365_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video7365_frame_004_of_004.jpg,video7365,video7365,cartoon people are eating at a restaurant
./frames_data/1k_multi_frames_4/video8068_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video8068_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video8068_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video8068_frame_004_of_004.jpg,video8068,video8068,a woman on a couch talks to a a man
./frames_data/1k_multi_frames_4/video7131_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video7131_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video7131_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video7131_frame_004_of_004.jpg,video7131,video7131,athletes are getting ready and start running for an event
./frames_data/1k_multi_frames_4/video7213_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video7213_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video7213_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video7213_frame_004_of_004.jpg,video7213,video7213,a woman is making lasagna
./frames_data/1k_multi_frames_4/video7575_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video7575_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video7575_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video7575_frame_004_of_004.jpg,video7575,video7575,a man speaking in a microphone
./frames_data/1k_multi_frames_4/video7978_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video7978_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video7978_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video7978_frame_004_of_004.jpg,video7978,video7978,a team with blue uniforms are playing badmitten with a team in white
./frames_data/1k_multi_frames_4/video8123_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video8123_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video8123_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video8123_frame_004_of_004.jpg,video8123,video8123,a woman is giving demo for baby trolley
./frames_data/1k_multi_frames_4/video9800_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video9800_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video9800_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video9800_frame_004_of_004.jpg,video9800,video9800,a car is in a wreck
./frames_data/1k_multi_frames_4/video9205_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video9205_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video9205_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video9205_frame_004_of_004.jpg,video9205,video9205,a woman interviewing about her part in a protest happening in brazil
./frames_data/1k_multi_frames_4/video7590_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video7590_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video7590_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video7590_frame_004_of_004.jpg,video7590,video7590,an emotional scene of two persons where they are crying on meeting
./frames_data/1k_multi_frames_4/video9017_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video9017_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video9017_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video9017_frame_004_of_004.jpg,video9017,video9017,the man is driving his motorbike fast and having problems on the race
./frames_data/1k_multi_frames_4/video9241_frame_001_of_004.jpg,./frames_data/1k_multi_frames_4/video9241_frame_002_of_004.jpg,./frames_data/1k_multi_frames_4/video9241_frame_003_of_004.jpg,./frames_data/1k_multi_frames_4/video9241_frame_004_of_004.jpg,video9241,video9241,japanese people laughing and dancing
