rel_video_id,query,top1,top5,top10,top15,ground_truth
video7579,a girl wearing red top and black trouser is putting a sweater on a dog,"[[7579, 1.415151834487915]]","[[7579, 1.415151834487915], [9969, 1.4799106121063232], [8837, 1.4897732734680176], [9347, 1.4948583841323853], [8866, 1.5094395875930786]]","[[7579, 1.415151834487915], [9969, 1.4799106121063232], [8837, 1.4897732734680176], [9347, 1.4948583841323853], [8866, 1.5094395875930786], [8825, 1.5139577388763428], [9603, 1.5188720226287842], [7201, 1.5256853103637695], [9034, 1.5296111106872559], [9580, 1.5418593883514404]]","[[7579, 1.415151834487915], [9969, 1.4799106121063232], [8837, 1.4897732734680176], [9347, 1.4948583841323853], [8866, 1.5094395875930786], [8825, 1.5139577388763428], [9603, 1.5188720226287842], [7201, 1.5256853103637695], [9034, 1.5296111106872559], [9580, 1.5418593883514404], [8604, 1.5422786474227905], [7783, 1.548557996749878], [7798, 1.5500521659851074], [7146, 1.5507817268371582], [8920, 1.5508489608764648]]",7579
video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party,"[[7725, 1.3622068166732788]]","[[7725, 1.3622068166732788], [8014, 1.4865269660949707], [8339, 1.4922078847885132], [8442, 1.5024112462997437], [8556, 1.511048674583435]]","[[7725, 1.3622068166732788], [8014, 1.4865269660949707], [8339, 1.4922078847885132], [8442, 1.5024112462997437], [8556, 1.511048674583435], [7411, 1.5155417919158936], [8303, 1.5275015830993652], [9957, 1.5276553630828857], [9254, 1.5293798446655273], [7117, 1.5300288200378418]]","[[7725, 1.3622068166732788], [8014, 1.4865269660949707], [8339, 1.4922078847885132], [8442, 1.5024112462997437], [8556, 1.511048674583435], [7411, 1.5155417919158936], [8303, 1.5275015830993652], [9957, 1.5276553630828857], [9254, 1.5293798446655273], [7117, 1.5300288200378418], [7732, 1.5316165685653687], [7028, 1.5441274642944336], [7149, 1.5535520315170288], [8305, 1.5539178848266602], [7141, 1.5576456785202026]]",7725
video9258,a person is using a phone,"[[9258, 1.4011969566345215]]","[[9258, 1.4011969566345215], [9257, 1.422863483428955], [9697, 1.4413853883743286], [7910, 1.4945621490478516], [9603, 1.4998571872711182]]","[[9258, 1.4011969566345215], [9257, 1.422863483428955], [9697, 1.4413853883743286], [7910, 1.4945621490478516], [9603, 1.4998571872711182], [8924, 1.501394510269165], [7687, 1.5045617818832397], [7347, 1.521554946899414], [7369, 1.530113697052002], [8012, 1.5389740467071533]]","[[9258, 1.4011969566345215], [9257, 1.422863483428955], [9697, 1.4413853883743286], [7910, 1.4945621490478516], [9603, 1.4998571872711182], [8924, 1.501394510269165], [7687, 1.5045617818832397], [7347, 1.521554946899414], [7369, 1.530113697052002], [8012, 1.5389740467071533], [9770, 1.5396759510040283], [7728, 1.5410734415054321], [8752, 1.542309284210205], [7363, 1.5441865921020508], [7576, 1.5517358779907227]]",9258
video7365,cartoon people are eating at a restaurant,"[[7365, 1.4027695655822754]]","[[7365, 1.4027695655822754], [8781, 1.4623048305511475], [9537, 1.4739768505096436], [7831, 1.505112648010254], [7222, 1.514506459236145]]","[[7365, 1.4027695655822754], [8781, 1.4623048305511475], [9537, 1.4739768505096436], [7831, 1.505112648010254], [7222, 1.514506459236145], [9777, 1.5283745527267456], [8911, 1.5462589263916016], [9814, 1.5544300079345703], [7741, 1.5603089332580566], [9539, 1.5623550415039062]]","[[7365, 1.4027695655822754], [8781, 1.4623048305511475], [9537, 1.4739768505096436], [7831, 1.505112648010254], [7222, 1.514506459236145], [9777, 1.5283745527267456], [8911, 1.5462589263916016], [9814, 1.5544300079345703], [7741, 1.5603089332580566], [9539, 1.5623550415039062], [7175, 1.570528507232666], [7218, 1.5843114852905273], [9327, 1.5856547355651855], [8794, 1.5857832431793213], [7111, 1.5866572856903076]]",7365
video8068,a woman on a couch talks to a a man,"[[7162, 1.4716743230819702]]","[[7162, 1.4716743230819702], [8304, 1.4787472486495972], [8068, 1.4926888942718506], [7724, 1.4982554912567139], [9023, 1.51153564453125]]","[[7162, 1.4716743230819702], [8304, 1.4787472486495972], [8068, 1.4926888942718506], [7724, 1.4982554912567139], [9023, 1.51153564453125], [8813, 1.5152695178985596], [8392, 1.5179630517959595], [7149, 1.5196641683578491], [8826, 1.5211718082427979], [9919, 1.5224076509475708]]","[[7162, 1.4716743230819702], [8304, 1.4787472486495972], [8068, 1.4926888942718506], [7724, 1.4982554912567139], [9023, 1.51153564453125], [8813, 1.5152695178985596], [8392, 1.5179630517959595], [7149, 1.5196641683578491], [8826, 1.5211718082427979], [9919, 1.5224076509475708], [8120, 1.52567720413208], [9322, 1.5266551971435547], [8048, 1.526810646057129], [9237, 1.5280894041061401], [8783, 1.5291284322738647]]",8068
video7131,athletes are getting ready and start running for an event,"[[8264, 1.4104280471801758]]","[[8264, 1.4104280471801758], [7131, 1.4545626640319824], [8451, 1.4589564800262451], [8322, 1.5217771530151367], [9803, 1.5225485563278198]]","[[8264, 1.4104280471801758], [7131, 1.4545626640319824], [8451, 1.4589564800262451], [8322, 1.5217771530151367], [9803, 1.5225485563278198], [8262, 1.5311415195465088], [7788, 1.5413167476654053], [8013, 1.5424026250839233], [7155, 1.544426679611206], [9302, 1.5450849533081055]]","[[8264, 1.4104280471801758], [7131, 1.4545626640319824], [8451, 1.4589564800262451], [8322, 1.5217771530151367], [9803, 1.5225485563278198], [8262, 1.5311415195465088], [7788, 1.5413167476654053], [8013, 1.5424026250839233], [7155, 1.544426679611206], [9302, 1.5450849533081055], [9832, 1.552328109741211], [8945, 1.5583651065826416], [8306, 1.5608383417129517], [7153, 1.5618321895599365], [8316, 1.5626344680786133]]",7131
video7213,a woman is making lasagna,"[[8345, 1.4753135442733765]]","[[8345, 1.4753135442733765], [8910, 1.4815260171890259], [7213, 1.489058017730713], [8915, 1.489261507987976], [7165, 1.4951164722442627]]","[[8345, 1.4753135442733765], [8910, 1.4815260171890259], [7213, 1.489058017730713], [8915, 1.489261507987976], [7165, 1.4951164722442627], [7695, 1.4977586269378662], [7591, 1.5022869110107422], [8662, 1.511078953742981], [8444, 1.513946771621704], [8056, 1.5170117616653442]]","[[8345, 1.4753135442733765], [8910, 1.4815260171890259], [7213, 1.489058017730713], [8915, 1.489261507987976], [7165, 1.4951164722442627], [7695, 1.4977586269378662], [7591, 1.5022869110107422], [8662, 1.511078953742981], [8444, 1.513946771621704], [8056, 1.5170117616653442], [9836, 1.5207411050796509], [7826, 1.525043249130249], [8483, 1.5261675119400024], [9731, 1.5281424522399902], [8654, 1.5320677757263184]]",7213
video7575,a man speaking in a microphone,"[[7828, 1.457465648651123]]","[[7828, 1.457465648651123], [7575, 1.4667668342590332], [9885, 1.4804556369781494], [8416, 1.4890186786651611], [8259, 1.492573618888855]]","[[7828, 1.457465648651123], [7575, 1.4667668342590332], [9885, 1.4804556369781494], [8416, 1.4890186786651611], [8259, 1.492573618888855], [8830, 1.4934368133544922], [9690, 1.5023078918457031], [9233, 1.5033072233200073], [8072, 1.5072154998779297], [8917, 1.5101640224456787]]","[[7828, 1.457465648651123], [7575, 1.4667668342590332], [9885, 1.4804556369781494], [8416, 1.4890186786651611], [8259, 1.492573618888855], [8830, 1.4934368133544922], [9690, 1.5023078918457031], [9233, 1.5033072233200073], [8072, 1.5072154998779297], [8917, 1.5101640224456787], [9352, 1.5113434791564941], [9522, 1.511512041091919], [7410, 1.5129926204681396], [9117, 1.5214024782180786], [8453, 1.5255744457244873]]",7575
video7978,a team with blue uniforms are playing badmitten with a team in white,"[[9823, 1.4620780944824219]]","[[9823, 1.4620780944824219], [8660, 1.4660369157791138], [9013, 1.4679255485534668], [7978, 1.4891501665115356], [7500, 1.4893999099731445]]","[[9823, 1.4620780944824219], [8660, 1.4660369157791138], [9013, 1.4679255485534668], [7978, 1.4891501665115356], [7500, 1.4893999099731445], [9647, 1.4907033443450928], [8675, 1.4908782243728638], [7358, 1.4939930438995361], [7699, 1.4942727088928223], [8308, 1.495530605316162]]","[[9823, 1.4620780944824219], [8660, 1.4660369157791138], [9013, 1.4679255485534668], [7978, 1.4891501665115356], [7500, 1.4893999099731445], [9647, 1.4907033443450928], [8675, 1.4908782243728638], [7358, 1.4939930438995361], [7699, 1.4942727088928223], [8308, 1.495530605316162], [7357, 1.5002892017364502], [7021, 1.5012061595916748], [9605, 1.5040329694747925], [7787, 1.5060012340545654], [9542, 1.5071191787719727]]",7978
video8123,a woman is giving demo for baby trolley,"[[7230, 1.3377585411071777]]","[[7230, 1.3377585411071777], [7217, 1.3812671899795532], [9755, 1.399320125579834], [8258, 1.403618574142456], [8123, 1.4587804079055786]]","[[7230, 1.3377585411071777], [7217, 1.3812671899795532], [9755, 1.399320125579834], [8258, 1.403618574142456], [8123, 1.4587804079055786], [8899, 1.485304355621338], [8863, 1.5301493406295776], [9322, 1.5553176403045654], [7169, 1.56795334815979], [7688, 1.577250361442566]]","[[7230, 1.3377585411071777], [7217, 1.3812671899795532], [9755, 1.399320125579834], [8258, 1.403618574142456], [8123, 1.4587804079055786], [8899, 1.485304355621338], [8863, 1.5301493406295776], [9322, 1.5553176403045654], [7169, 1.56795334815979], [7688, 1.577250361442566], [7549, 1.5782318115234375], [9237, 1.579331636428833], [7204, 1.5801818370819092], [9696, 1.589258074760437], [8672, 1.5925166606903076]]",8123
