video_id,sentence,ground_truth,top1,top5,top10,top10_raw_res
2960,a cartoon animals runs through an ice cave in a video game,2960,"[[8203, 1.3518543243408203]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242], [4462, 1.468991756439209], [7821, 1.4724347591400146], [5744, 1.476823329925537], [8567, 1.4791474342346191], [3713, 1.4855239391326904]]","[[8203, 1.3518543243408203], [2960, 1.3743010759353638], [3121, 1.458393931388855], [1742, 1.4631893634796143], [2874, 1.4642057418823242], [4462, 1.468991756439209], [7821, 1.4724347591400146], [5744, 1.476823329925537], [8567, 1.4791474342346191], [3713, 1.4855239391326904]]"
2636,a man gets hit in the face with a chair during a wwf wrestling match,2636,"[[2636, 1.3602731227874756]]","[[2636, 1.3602731227874756], [4774, 1.3791619539260864], [9847, 1.3864306211471558], [9636, 1.399008870124817], [8279, 1.408244013786316]]","[[2636, 1.3602731227874756], [4774, 1.3791619539260864], [9847, 1.3864306211471558], [9636, 1.399008870124817], [8279, 1.408244013786316], [9166, 1.4213165044784546], [1007, 1.4229460954666138], [1761, 1.4317041635513306], [4942, 1.4318201541900635], [4778, 1.4341152906417847]]","[[2636, 1.3602731227874756], [4774, 1.3791619539260864], [9847, 1.3864306211471558], [9636, 1.399008870124817], [8279, 1.408244013786316], [9166, 1.4213165044784546], [1007, 1.4229460954666138], [1761, 1.4317041635513306], [4942, 1.4318201541900635], [4778, 1.4341152906417847]]"
4311,a person is explaining something,4311,"[[4242, 1.492103934288025]]","[[4242, 1.492103934288025], [6415, 1.5018973350524902], [8060, 1.5108928680419922], [5002, 1.51104736328125], [5671, 1.5171959400177002]]","[[4242, 1.492103934288025], [6415, 1.5018973350524902], [8060, 1.5108928680419922], [5002, 1.51104736328125], [5671, 1.5171959400177002], [878, 1.5178008079528809], [2298, 1.5225056409835815], [8386, 1.524167776107788], [6104, 1.5245473384857178], [8416, 1.5246002674102783]]","[[4242, 1.492103934288025], [6415, 1.5018973350524902], [8060, 1.5108928680419922], [5002, 1.51104736328125], [5671, 1.5171959400177002], [878, 1.5178008079528809], [2298, 1.5225056409835815], [8386, 1.524167776107788], [6104, 1.5245473384857178], [8416, 1.5246002674102783]]"
1844,a man conducting a science experiment,1844,"[[641, 1.3759840726852417]]","[[641, 1.3759840726852417], [9176, 1.4121618270874023], [7282, 1.4177645444869995], [1844, 1.419187307357788], [9671, 1.4200904369354248]]","[[641, 1.3759840726852417], [9176, 1.4121618270874023], [7282, 1.4177645444869995], [1844, 1.419187307357788], [9671, 1.4200904369354248], [2138, 1.4204106330871582], [9699, 1.4225960969924927], [8221, 1.4277993440628052], [1395, 1.4384760856628418], [8566, 1.4460407495498657]]","[[641, 1.3759840726852417], [9176, 1.4121618270874023], [7282, 1.4177645444869995], [1844, 1.419187307357788], [9671, 1.4200904369354248], [2138, 1.4204106330871582], [9699, 1.4225960969924927], [8221, 1.4277993440628052], [1395, 1.4384760856628418], [8566, 1.4460407495498657]]"
2213,a couple of men wrestling on the ground,2213,"[[4778, 1.414879322052002]]","[[4778, 1.414879322052002], [3685, 1.424682378768921], [5689, 1.4251071214675903], [5475, 1.4268649816513062], [5123, 1.4273970127105713]]","[[4778, 1.414879322052002], [3685, 1.424682378768921], [5689, 1.4251071214675903], [5475, 1.4268649816513062], [5123, 1.4273970127105713], [600, 1.4283043146133423], [7258, 1.4295291900634766], [708, 1.4310905933380127], [8603, 1.4312472343444824], [3331, 1.4320833683013916]]","[[4778, 1.414879322052002], [3685, 1.424682378768921], [5689, 1.4251071214675903], [5475, 1.4268649816513062], [5123, 1.4273970127105713], [600, 1.4283043146133423], [7258, 1.4295291900634766], [708, 1.4310905933380127], [8603, 1.4312472343444824], [3331, 1.4320833683013916]]"
3513,a clip of two women from a comedic television show,3513,"[[4323, 1.3923832178115845]]","[[4323, 1.3923832178115845], [3513, 1.4116039276123047], [3168, 1.4266762733459473], [2753, 1.4513869285583496], [6211, 1.4546564817428589]]","[[4323, 1.3923832178115845], [3513, 1.4116039276123047], [3168, 1.4266762733459473], [2753, 1.4513869285583496], [6211, 1.4546564817428589], [8637, 1.4581763744354248], [1405, 1.4611001014709473], [2180, 1.4627326726913452], [7493, 1.4634262323379517], [5685, 1.4635212421417236]]","[[4323, 1.3923832178115845], [3513, 1.4116039276123047], [3168, 1.4266762733459473], [2753, 1.4513869285583496], [6211, 1.4546564817428589], [8637, 1.4581763744354248], [1405, 1.4611001014709473], [2180, 1.4627326726913452], [7493, 1.4634262323379517], [5685, 1.4635212421417236]]"
2218,a boy wears a black tie,2218,"[[2218, 1.427466630935669]]","[[2218, 1.427466630935669], [7073, 1.4599618911743164], [1770, 1.4618561267852783], [3055, 1.4770432710647583], [6742, 1.4777824878692627]]","[[2218, 1.427466630935669], [7073, 1.4599618911743164], [1770, 1.4618561267852783], [3055, 1.4770432710647583], [6742, 1.4777824878692627], [3432, 1.4782015085220337], [8964, 1.4843976497650146], [1671, 1.4860724210739136], [5018, 1.488728404045105], [2290, 1.4893897771835327]]","[[2218, 1.427466630935669], [7073, 1.4599618911743164], [1770, 1.4618561267852783], [3055, 1.4770432710647583], [6742, 1.4777824878692627], [3432, 1.4782015085220337], [8964, 1.4843976497650146], [1671, 1.4860724210739136], [5018, 1.488728404045105], [2290, 1.4893897771835327]]"
1974,a band is singing for a music video,1974,"[[2081, 1.424072265625]]","[[2081, 1.424072265625], [5803, 1.4309487342834473], [1332, 1.4462640285491943], [8978, 1.4463099241256714], [983, 1.4464741945266724]]","[[2081, 1.424072265625], [5803, 1.4309487342834473], [1332, 1.4462640285491943], [8978, 1.4463099241256714], [983, 1.4464741945266724], [9461, 1.4511399269104004], [3264, 1.4523193836212158], [8755, 1.457342505455017], [9892, 1.4588514566421509], [9216, 1.4602863788604736]]","[[2081, 1.424072265625], [5803, 1.4309487342834473], [1332, 1.4462640285491943], [8978, 1.4463099241256714], [983, 1.4464741945266724], [9461, 1.4511399269104004], [3264, 1.4523193836212158], [8755, 1.457342505455017], [9892, 1.4588514566421509], [9216, 1.4602863788604736]]"
2755,a child is singing a song,2755,"[[7908, 1.4248530864715576]]","[[7908, 1.4248530864715576], [9879, 1.4248974323272705], [2372, 1.4293935298919678], [530, 1.4320873022079468], [2965, 1.4379887580871582]]","[[7908, 1.4248530864715576], [9879, 1.4248974323272705], [2372, 1.4293935298919678], [530, 1.4320873022079468], [2965, 1.4379887580871582], [162, 1.4423986673355103], [1352, 1.4467483758926392], [2115, 1.4518499374389648], [1161, 1.4556939601898193], [1635, 1.4567303657531738]]","[[7908, 1.4248530864715576], [9879, 1.4248974323272705], [2372, 1.4293935298919678], [530, 1.4320873022079468], [2965, 1.4379887580871582], [162, 1.4423986673355103], [1352, 1.4467483758926392], [2115, 1.4518499374389648], [1161, 1.4556939601898193], [1635, 1.4567303657531738]]"
3597,a basketball game is played,3597,"[[4561, 1.4355976581573486]]","[[4561, 1.4355976581573486], [9013, 1.4391863346099854], [8668, 1.4393125772476196], [4214, 1.4400634765625], [1522, 1.4403190612792969]]","[[4561, 1.4355976581573486], [9013, 1.4391863346099854], [8668, 1.4393125772476196], [4214, 1.4400634765625], [1522, 1.4403190612792969], [4177, 1.4413299560546875], [7763, 1.442987084388733], [8610, 1.4456138610839844], [7710, 1.447242021560669], [2967, 1.4479036331176758]]","[[4561, 1.4355976581573486], [9013, 1.4391863346099854], [8668, 1.4393125772476196], [4214, 1.4400634765625], [1522, 1.4403190612792969], [4177, 1.4413299560546875], [7763, 1.442987084388733], [8610, 1.4456138610839844], [7710, 1.447242021560669], [2967, 1.4479036331176758]]"
