video_id,sentence
video2960,a cartoon animals runs through an ice cave in a video game
video2960,a cartoon character runs around inside of a video game
video2960,a character is running in the snow
video2960,a person plays a video game centered around ice age the movie
video2960,a person plays online and records themselves
video2960,a scene from the ice age video game is shown
video2960,a video game character is jumping about in a cave
video2960,a video game of a little animal running through an ice tunnel
video2960,a video game of a small animal
video2960,a video shows gameplay from ice age
video2960,a weasel runs around in an icy cave
video2960,an animal runs through an icy tunnel in a video game
video2960,crash and eddie on an ice age video game
video2960,gameplay footage of someone playing a game
video2960,ice age video game main character walks around
video2960,someone is playing a video game
video2960,a weasel runs around in an icy cave
video2960,a video game of a small animal
video2960,a cartoon animals runs through an ice cave in a video game
video2960,a cartoon character runs around inside of a video game
video2636,a man gets hit in the face with a chair during a wwf wrestling match
video2636,a man has his head ran into a metal tray in a wrestling match
video2636,a man hit another man with a chair in a wrestling ring and then is pinning him
video2636,a man is hit with a trashcan lid
video2636,a man is hitting another man with chair in wwf
video2636,a man narrates a wf match between two men in a wrestling ring
video2636,it is a wrestling show
video2636,people are wrestling in a ring
video2636,professional wrestlers battle in a wrestling ring
video2636,this is a wwf wrestling match
video2636,two man s are fighting with each other
video2636,two men are wrestling each other with weapons
video2636,two men wrestling and the umpire trying to judge
video2636,two men wrestling in front of an audience
video2636,wrestler throws other person against ring and hits him with a chair
video2636,wrestlers are wrestling on a stage
video2636,wrestling show on the ground
video2636,wwe fight between hardy brothers
video2636,people are wrestling in a ring
video2636,a man gets hit in the face with a chair during a wwf wrestling match
video4311,a person is explaining something
video4311,amateur video of a wrestling match
video4311,men are playing sports
video4311,two guys wrestling in a competition
video4311,two mans fight with each other
video4311,two men are wrestling
video4311,two men are wrestling
video4311,two men wrestle
video4311,two men wrestle
video4311,two people are wrestling
video4311,two people are wrestling
video4311,two people wrestling for spectators
video4311,two people wrestling
video4311,two wrestlers grapple on a mat
video4311,young men in uniform are wrestling at a high school wrestling match
video4311,two people are wrestling
video4311,two men are wrestling
video4311,men are playing sports
video4311,two people wrestling for spectators
video4311,a person is explaining something
video1844,a man conducting a science experiment
video1844,a man demonstrates how to hold a bubble in a gloved hand
video1844,a man does science
video1844,a man doing an experiment
video1844,a man is demonstrating a science experiment with a bubble
video1844,a man is demonstrating an experiment
video1844,a man is making bubbles
video1844,a man is showing some of sort of steps related to science and a bubble
video1844,a man puts on a glove
video1844,a man shows some experiment with bubble
video1844,a person is explaining something
video1844,a person is making bubbles
video1844,a person playing with bubbles
video1844,a person showing some science
video1844,an expert explaining the technique with bubble
video1844,man holding bubbles
video1844,person doing a experiment
video1844,someone is blowing bubbles
video1844,a person is explaining something
video1844,a man conducting a science experiment
video2213,a couple of men wrestling on the ground
video2213,a wrestling match in an event
video2213,both persons are playing
video2213,males are wrestling
video2213,men are wrestling
video2213,the wrestler grapples his opponent
video2213,two boys are competing in a wrestling match
video2213,two guys fight with each other
video2213,two guys wrestling in a competition
video2213,two man is wrestling
video2213,two man is wrestling
video2213,two men in a wrestling match
video2213,two men wrestling
video2213,two men wrestling one another
video2213,two people are wrestling
video2213,two people are wrestling
video2213,two persons are wrestling each other in a tournament
video2213,two wrestlers are wrestling in a match
video2213,two wrestlers battle it out
video2213,a couple of men wrestling on the ground
