video_id,frame_path,frame_id,sentence
video7579,./1k_frames_single/video7579.jpg,video7579,a girl wearing red top and black trouser is putting a sweater on a dog
video7725,./1k_frames_single/video7725.jpg,video7725,young people sit around the edges of a room clapping and raising their arms while others dance in the center during a party
video9258,./1k_frames_single/video9258.jpg,video9258,a person is using a phone
video7365,./1k_frames_single/video7365.jpg,video7365,cartoon people are eating at a restaurant
video8068,./1k_frames_single/video8068.jpg,video8068,a woman on a couch talks to a a man
video7131,./1k_frames_single/video7131.jpg,video7131,athletes are getting ready and start running for an event
video7213,./1k_frames_single/video7213.jpg,video7213,a woman is making lasagna
video7575,./1k_frames_single/video7575.jpg,video7575,a man speaking in a microphone
video7978,./1k_frames_single/video7978.jpg,video7978,a team with blue uniforms are playing badmitten with a team in white
video8123,./1k_frames_single/video8123.jpg,video8123,a woman is giving demo for baby trolley
video9800,./1k_frames_single/video9800.jpg,video9800,a car is in a wreck
video9205,./1k_frames_single/video9205.jpg,video9205,a woman interviewing about her part in a protest happening in brazil
video7590,./1k_frames_single/video7590.jpg,video7590,an emotional scene of two persons where they are crying on meeting
video9017,./1k_frames_single/video9017.jpg,video9017,the man is driving his motorbike fast and having problems on the race
video9241,./1k_frames_single/video9241.jpg,video9241,japanese people laughing and dancing
video7158,./1k_frames_single/video7158.jpg,video7158,fox news presidential debate recapping the gop debate with donald trump and ted cruz
video9233,./1k_frames_single/video9233.jpg,video9233,a man is giving a speech
video8687,./1k_frames_single/video8687.jpg,video8687,fast moving time is shown here
video9337,./1k_frames_single/video9337.jpg,video9337,some people are inside of a room
video9620,./1k_frames_single/video9620.jpg,video9620,outer space pictures that have parts of equipments in them with water droplets on it
video7411,./1k_frames_single/video7411.jpg,video7411,jolly good music troop delivering a program and the lady is in good spirit
video8514,./1k_frames_single/video8514.jpg,video8514,a person is putting the vegetable in to the water and boil it
video8481,./1k_frames_single/video8481.jpg,video8481,a woman is reporting on keds commercials
video9224,./1k_frames_single/video9224.jpg,video9224,someone is playing a game
video8426,./1k_frames_single/video8426.jpg,video8426,cabins on a sandy beach have walkways going up to their porches
video9699,./1k_frames_single/video9699.jpg,video9699,a man explains how to do a experiment
video9882,./1k_frames_single/video9882.jpg,video9882,a news reader is reading the news and asking question to some people
video8300,./1k_frames_single/video8300.jpg,video8300,a woman pours water into her pot of meat then tomato sauce and stirs it all around while talking
video8863,./1k_frames_single/video8863.jpg,video8863,an animated girl talks to a baby and plays with it
video7147,./1k_frames_single/video7147.jpg,video7147,a man cooks burgers and bacon on a grill
video7744,./1k_frames_single/video7744.jpg,video7744,a chef stirs up some ingredients inside of a pan
video7839,./1k_frames_single/video7839.jpg,video7839,this is a vine sports compilation
video7214,./1k_frames_single/video7214.jpg,video7214,race cars of different colors lined up on a dark track
video7771,./1k_frames_single/video7771.jpg,video7771,a golf player is trying to hit the ball into the pit
video8486,./1k_frames_single/video8486.jpg,video8486,a cartoon on a young guy cursing
video9909,./1k_frames_single/video9909.jpg,video9909,a crowd of people sitting next to each other as one man plays a video game
video8922,./1k_frames_single/video8922.jpg,video8922,an old man shakes hands with another man and then they hug each other
video9814,./1k_frames_single/video9814.jpg,video9814,a scene from spongebob squarepants where the townspeople are carrying torches and chasing a giant squidward
video9368,./1k_frames_single/video9368.jpg,video9368,someone demonstrates about the small motor uses to the video
video8820,./1k_frames_single/video8820.jpg,video8820,a person comes up in the hill on a orange motor bike and falls down
video9452,./1k_frames_single/video9452.jpg,video9452,an animated grey shark in the middle of a blue water simulation background rotating in a circle on the screen of a monitor
video9344,./1k_frames_single/video9344.jpg,video9344,gameplay footage of someone playing a game
video9032,./1k_frames_single/video9032.jpg,video9032,a hospital mortuary room and a doctor treat the special case
video9016,./1k_frames_single/video9016.jpg,video9016,all persons are wearing bikini dresses and playing in sea
video9353,./1k_frames_single/video9353.jpg,video9353,two women are outside and are discussing something in a foreign language
video9405,./1k_frames_single/video9405.jpg,video9405,red balloons float in the sky and have packages tied to them
video7559,./1k_frames_single/video7559.jpg,video7559,a man is trying some sushi
video9063,./1k_frames_single/video9063.jpg,video9063,people on stage performing
video7352,./1k_frames_single/video7352.jpg,video7352,a movie scene starring morgan freeman and men in armor running
video8447,./1k_frames_single/video8447.jpg,video8447,a woman singing on the voice
video8322,./1k_frames_single/video8322.jpg,video8322,a lady tries to ride on bicycle but fails
video7939,./1k_frames_single/video7939.jpg,video7939,a man and woman stand together and cook in the kitchen
video7567,./1k_frames_single/video7567.jpg,video7567,a man checks out detail on a car
video9418,./1k_frames_single/video9418.jpg,video9418,a man in black suit is talking about deforestation and about climate change
video8917,./1k_frames_single/video8917.jpg,video8917,two men discuss social issues
video7704,./1k_frames_single/video7704.jpg,video7704,a man with a very red nose
video7218,./1k_frames_single/video7218.jpg,video7218,episode from spongebob cartoon
video7028,./1k_frames_single/video7028.jpg,video7028,a man is singing and standing in the road
video8909,./1k_frames_single/video8909.jpg,video8909,list of people s involved in making the documentary
video8269,./1k_frames_single/video8269.jpg,video8269,the man thought students should be given the freedom to learn
video9354,./1k_frames_single/video9354.jpg,video9354,a red truck is burning while three men talk about a car
video8825,./1k_frames_single/video8825.jpg,video8825,a woman holds up a leather jacket
video9324,./1k_frames_single/video9324.jpg,video9324,animated video showing a bottle rolling across an empty hallway
video9403,./1k_frames_single/video9403.jpg,video9403,i see a prince trying to get a girl and i see peter pan play around
