rel_frame_id,query,top1,top5,top10,top15,ground_truth
video8469,two parrots in a bird cage one white chick and on green adult,"[[8469, 1.4449390172958374]]","[[8469, 1.4449390172958374], [7849, 1.4497870206832886], [7822, 1.4854648113250732], [9014, 1.4984512329101562], [9253, 1.509603500366211]]","[[8469, 1.4449390172958374], [7849, 1.4497870206832886], [7822, 1.4854648113250732], [9014, 1.4984512329101562], [9253, 1.509603500366211], [8268, 1.5156983137130737], [8259, 1.5162255764007568], [7343, 1.5177183151245117], [8302, 1.5200653076171875], [8786, 1.520758032798767]]","[[8469, 1.4449390172958374], [7849, 1.4497870206832886], [7822, 1.4854648113250732], [9014, 1.4984512329101562], [9253, 1.509603500366211], [8268, 1.5156983137130737], [8259, 1.5162255764007568], [7343, 1.5177183151245117], [8302, 1.5200653076171875], [8786, 1.520758032798767], [9805, 1.5215561389923096], [8927, 1.526470422744751], [8014, 1.5274231433868408], [8783, 1.5280914306640625], [9341, 1.529177188873291]]",8469
video9687,a man chopping lobster and taking off the shell,"[[7820, 1.40888512134552]]","[[7820, 1.40888512134552], [9742, 1.4197094440460205], [9687, 1.4254179000854492], [8834, 1.4288145303726196], [9309, 1.4338301420211792]]","[[7820, 1.40888512134552], [9742, 1.4197094440460205], [9687, 1.4254179000854492], [8834, 1.4288145303726196], [9309, 1.4338301420211792], [8129, 1.4356516599655151], [8025, 1.4363141059875488], [9253, 1.4523711204528809], [7966, 1.4531044960021973], [9022, 1.4546780586242676]]","[[7820, 1.40888512134552], [9742, 1.4197094440460205], [9687, 1.4254179000854492], [8834, 1.4288145303726196], [9309, 1.4338301420211792], [8129, 1.4356516599655151], [8025, 1.4363141059875488], [9253, 1.4523711204528809], [7966, 1.4531044960021973], [9022, 1.4546780586242676], [8479, 1.4585561752319336], [9537, 1.4593368768692017], [9798, 1.4599058628082275], [8325, 1.4694420099258423], [9693, 1.469682216644287]]",9687
video7698,two women are walking in a parking lot,"[[7558, 1.4385546445846558]]","[[7558, 1.4385546445846558], [9039, 1.4457066059112549], [7698, 1.4519243240356445], [8044, 1.4523491859436035], [9832, 1.4546778202056885]]","[[7558, 1.4385546445846558], [9039, 1.4457066059112549], [7698, 1.4519243240356445], [8044, 1.4523491859436035], [9832, 1.4546778202056885], [9404, 1.456540584564209], [7138, 1.4651788473129272], [9535, 1.4654009342193604], [8016, 1.4783687591552734], [9451, 1.4794328212738037]]","[[7558, 1.4385546445846558], [9039, 1.4457066059112549], [7698, 1.4519243240356445], [8044, 1.4523491859436035], [9832, 1.4546778202056885], [9404, 1.456540584564209], [7138, 1.4651788473129272], [9535, 1.4654009342193604], [8016, 1.4783687591552734], [9451, 1.4794328212738037], [8316, 1.482999563217163], [8935, 1.4834636449813843], [9878, 1.485196590423584], [9341, 1.4857478141784668], [8899, 1.493368148803711]]",7698
video9503,a woman is talking about how jeans with patches or rips is trendy,"[[9503, 1.4195761680603027]]","[[9503, 1.4195761680603027], [8825, 1.4488005638122559], [9039, 1.4948625564575195], [9698, 1.4951632022857666], [7724, 1.4958734512329102]]","[[9503, 1.4195761680603027], [8825, 1.4488005638122559], [9039, 1.4948625564575195], [9698, 1.4951632022857666], [7724, 1.4958734512329102], [7577, 1.5019307136535645], [7580, 1.5101487636566162], [8824, 1.512810468673706], [9639, 1.5140807628631592], [9575, 1.5165200233459473]]","[[9503, 1.4195761680603027], [8825, 1.4488005638122559], [9039, 1.4948625564575195], [9698, 1.4951632022857666], [7724, 1.4958734512329102], [7577, 1.5019307136535645], [7580, 1.5101487636566162], [8824, 1.512810468673706], [9639, 1.5140807628631592], [9575, 1.5165200233459473], [8446, 1.5169166326522827], [9512, 1.5174202919006348], [8813, 1.517545223236084], [8068, 1.5182182788848877], [9250, 1.520146369934082]]",9503
video8903,a naked child runs through a field,"[[9031, 1.3999378681182861]]","[[9031, 1.3999378681182861], [9805, 1.4242286682128906], [8125, 1.4620842933654785], [8903, 1.4644503593444824], [8061, 1.4674540758132935]]","[[9031, 1.3999378681182861], [9805, 1.4242286682128906], [8125, 1.4620842933654785], [8903, 1.4644503593444824], [8061, 1.4674540758132935], [8931, 1.4741811752319336], [9451, 1.4748121500015259], [7155, 1.4828898906707764], [8486, 1.484369158744812], [8044, 1.4859769344329834]]","[[9031, 1.3999378681182861], [9805, 1.4242286682128906], [8125, 1.4620842933654785], [8903, 1.4644503593444824], [8061, 1.4674540758132935], [8931, 1.4741811752319336], [9451, 1.4748121500015259], [7155, 1.4828898906707764], [8486, 1.484369158744812], [8044, 1.4859769344329834], [9240, 1.4884675741195679], [7366, 1.4903593063354492], [8089, 1.4920670986175537], [7021, 1.494737982749939], [9535, 1.5000869035720825]]",8903
video7415,a salad in a bowl is being filmed on a table,"[[7845, 1.4290262460708618]]","[[7845, 1.4290262460708618], [7360, 1.4371023178100586], [9752, 1.4396798610687256], [8686, 1.4487383365631104], [9798, 1.4496912956237793]]","[[7845, 1.4290262460708618], [7360, 1.4371023178100586], [9752, 1.4396798610687256], [8686, 1.4487383365631104], [9798, 1.4496912956237793], [9356, 1.458784580230713], [8325, 1.4600110054016113], [8514, 1.460571050643921], [9256, 1.4651615619659424], [9689, 1.4704787731170654]]","[[7845, 1.4290262460708618], [7360, 1.4371023178100586], [9752, 1.4396798610687256], [8686, 1.4487383365631104], [9798, 1.4496912956237793], [9356, 1.458784580230713], [8325, 1.4600110054016113], [8514, 1.460571050643921], [9256, 1.4651615619659424], [9689, 1.4704787731170654], [8306, 1.4712724685668945], [9687, 1.4742064476013184], [9693, 1.4760122299194336], [7744, 1.4764010906219482], [7826, 1.4770855903625488]]",7415
video8807,a couple dancing doing salsa,"[[9834, 1.444381594657898]]","[[9834, 1.444381594657898], [8652, 1.457564353942871], [7593, 1.4578036069869995], [7979, 1.462463140487671], [8339, 1.467857003211975]]","[[9834, 1.444381594657898], [8652, 1.457564353942871], [7593, 1.4578036069869995], [7979, 1.462463140487671], [8339, 1.467857003211975], [8899, 1.4766515493392944], [9535, 1.4863160848617554], [7837, 1.4868512153625488], [9404, 1.4887970685958862], [7438, 1.4908928871154785]]","[[9834, 1.444381594657898], [8652, 1.457564353942871], [7593, 1.4578036069869995], [7979, 1.462463140487671], [8339, 1.467857003211975], [8899, 1.4766515493392944], [9535, 1.4863160848617554], [7837, 1.4868512153625488], [9404, 1.4887970685958862], [7438, 1.4908928871154785], [9513, 1.4934825897216797], [7200, 1.4955453872680664], [9254, 1.4962375164031982], [9400, 1.4965529441833496], [9451, 1.4967583417892456]]",8807
video7348,a girl is talking about relationships,"[[9698, 1.4627439975738525]]","[[9698, 1.4627439975738525], [8904, 1.4994642734527588], [9419, 1.5004651546478271], [7724, 1.5028102397918701], [8048, 1.5036046504974365]]","[[9698, 1.4627439975738525], [8904, 1.4994642734527588], [9419, 1.5004651546478271], [7724, 1.5028102397918701], [8048, 1.5036046504974365], [9205, 1.505636215209961], [8895, 1.5065213441848755], [9969, 1.507655143737793], [8456, 1.5099964141845703], [9350, 1.511538028717041]]","[[9698, 1.4627439975738525], [8904, 1.4994642734527588], [9419, 1.5004651546478271], [7724, 1.5028102397918701], [8048, 1.5036046504974365], [9205, 1.505636215209961], [8895, 1.5065213441848755], [9969, 1.507655143737793], [8456, 1.5099964141845703], [9350, 1.511538028717041], [7118, 1.5133099555969238], [7029, 1.51370108127594], [9824, 1.516489863395691], [7216, 1.5181896686553955], [7580, 1.5188400745391846]]",7348
video7119,a man in a suit and a woman wearing brown giving the news,"[[9690, 1.3290841579437256]]","[[9690, 1.3290841579437256], [7613, 1.337342381477356], [8650, 1.3431084156036377], [8333, 1.3526396751403809], [7119, 1.4006890058517456]]","[[9690, 1.3290841579437256], [7613, 1.337342381477356], [8650, 1.3431084156036377], [8333, 1.3526396751403809], [7119, 1.4006890058517456], [9882, 1.4167687892913818], [9223, 1.419166922569275], [8175, 1.420285701751709], [9028, 1.4268336296081543], [7754, 1.4307969808578491]]","[[9690, 1.3290841579437256], [7613, 1.337342381477356], [8650, 1.3431084156036377], [8333, 1.3526396751403809], [7119, 1.4006890058517456], [9882, 1.4167687892913818], [9223, 1.419166922569275], [8175, 1.420285701751709], [9028, 1.4268336296081543], [7754, 1.4307969808578491], [9204, 1.4325251579284668], [9835, 1.4414995908737183], [8930, 1.4438074827194214], [7469, 1.444297194480896], [8464, 1.4481902122497559]]",7119
video8902,a man is looking out a window to look at another man who jumped from the window to his death,"[[9323, 1.4329454898834229]]","[[9323, 1.4329454898834229], [9871, 1.4421336650848389], [8497, 1.4460246562957764], [9331, 1.4486370086669922], [8044, 1.456347942352295]]","[[9323, 1.4329454898834229], [9871, 1.4421336650848389], [8497, 1.4460246562957764], [9331, 1.4486370086669922], [8044, 1.456347942352295], [8073, 1.4616360664367676], [9806, 1.4627608060836792], [7766, 1.4663810729980469], [7780, 1.4678497314453125], [7114, 1.4689619541168213]]","[[9323, 1.4329454898834229], [9871, 1.4421336650848389], [8497, 1.4460246562957764], [9331, 1.4486370086669922], [8044, 1.456347942352295], [8073, 1.4616360664367676], [9806, 1.4627608060836792], [7766, 1.4663810729980469], [7780, 1.4678497314453125], [7114, 1.4689619541168213], [7445, 1.472499132156372], [9253, 1.4725024700164795], [8945, 1.4762306213378906], [9334, 1.4785051345825195], [9514, 1.4791339635849]]",8902
